baseline_owner_module	baseline_declaration_name	visibility	kind	projection_order	source_ordinal	destination_module	route_class	normalization_decision
NumStability.Algorithms.TestMatrices.Higham28Contracts	NumStability.symmetricToeplitz_sine_eigenpair	public	theorem	7	3	NumStability.Source.Higham.Chapter28.Section05.TridiagonalToeplitz.SineEigenvectors	relocate_split	-
NumStability.Algorithms.TestMatrices.Higham28Contracts	NumStability.toeplitzSineVector_ne_zero	public	theorem	8	4	NumStability.Source.Higham.Chapter28.Section05.TridiagonalToeplitz.SineEigenvectors	relocate_split	-
NumStability.Algorithms.TestMatrices.Higham28Contracts	_private.NumStability.Algorithms.TestMatrices.Higham28Contracts.0.NumStability.companionMatrix_sub_scalar_rank_ge_succ	private	theorem	9	14	NumStability.Source.Higham.Chapter28.Section06.Companion.Nonderogatory	relocate_split	rename:_private.NumStability.Source.Higham.Chapter28.Section06.Companion.Nonderogatory.0.NumStability.companionMatrix_sub_scalar_rank_ge_succ
NumStability.Algorithms.TestMatrices.Higham28Contracts	_private.NumStability.Algorithms.TestMatrices.Higham28Contracts.0.NumStability.companion_transpose_pow_seed_nat	private	theorem	10	10	NumStability.Source.Higham.Chapter28.Section06.Companion.Nonderogatory	relocate_split	rename:_private.NumStability.Source.Higham.Chapter28.Section06.Companion.Nonderogatory.0.NumStability.companion_transpose_pow_seed_nat
NumStability.Algorithms.TestMatrices.Higham28Contracts	_private.NumStability.Algorithms.TestMatrices.Higham28Contracts.0.NumStability.companion_transpose_reverseBasis_step	private	theorem	11	9	NumStability.Source.Higham.Chapter28.Section06.Companion.Nonderogatory	relocate_split	rename:_private.NumStability.Source.Higham.Chapter28.Section06.Companion.Nonderogatory.0.NumStability.companion_transpose_reverseBasis_step
NumStability.Algorithms.TestMatrices.Higham28Contracts	_private.NumStability.Algorithms.TestMatrices.Higham28Contracts.0.NumStability.scaledSineColumn_eq	private	theorem	12	5	NumStability.Source.Higham.Chapter28.Section05.TridiagonalToeplitz.SineEigenvectors	relocate_split	rename:_private.NumStability.Source.Higham.Chapter28.Section05.TridiagonalToeplitz.SineEigenvectors.0.NumStability.scaledSineColumn_eq
NumStability.Algorithms.TestMatrices.Higham28Contracts	_private.NumStability.Algorithms.TestMatrices.Higham28Contracts.0.NumStability.sin_neighbor_identity	private	theorem	13	0	NumStability.Source.Higham.Chapter28.Section05.TridiagonalToeplitz.SineEigenvectors	relocate_split	rename:_private.NumStability.Source.Higham.Chapter28.Section05.TridiagonalToeplitz.SineEigenvectors.0.NumStability.sin_neighbor_identity
NumStability.Algorithms.TestMatrices.Higham28Contracts	_private.NumStability.Algorithms.TestMatrices.Higham28Contracts.0.NumStability.toeplitzSineVector_angle	private	theorem	14	1	NumStability.Source.Higham.Chapter28.Section05.TridiagonalToeplitz.SineEigenvectors	relocate_split	rename:_private.NumStability.Source.Higham.Chapter28.Section05.TridiagonalToeplitz.SineEigenvectors.0.NumStability.toeplitzSineVector_angle
NumStability.Algorithms.TestMatrices.Higham28Contracts	_private.NumStability.Algorithms.TestMatrices.Higham28Contracts.0.NumStability.toeplitz_sine_boundary	private	theorem	15	2	NumStability.Source.Higham.Chapter28.Section05.TridiagonalToeplitz.SineEigenvectors	relocate_split	rename:_private.NumStability.Source.Higham.Chapter28.Section05.TridiagonalToeplitz.SineEigenvectors.0.NumStability.toeplitz_sine_boundary
NumStability.Algorithms.TestMatrices.Higham28GaussianQRHaar	NumStability.ae_linearIndependent_standardGaussianColumns	public	theorem	0	3	NumStability.Source.Higham.Chapter28.Section03.Theorem01.StewartHaar.QRFactorHaar	relocate_whole	-
NumStability.Algorithms.TestMatrices.Higham28GaussianQRHaar	NumStability.ae_linearIndependent_standardGaussianColumns_aux	public	theorem	1	2	NumStability.Source.Higham.Chapter28.Section03.Theorem01.StewartHaar.QRFactorHaar	relocate_whole	-
NumStability.Algorithms.TestMatrices.Higham28GaussianQRHaar	NumStability.gaussianColumnMatrixMeasureOfScale_det_ne_zero_ae	public	theorem	2	15	NumStability.Source.Higham.Chapter28.Section03.Theorem01.StewartHaar.QRFactorHaar	relocate_whole	-
NumStability.Algorithms.TestMatrices.Higham28GaussianQRHaar	NumStability.gaussianColumnMatrixMeasure_det_ne_zero_ae	public	theorem	3	5	NumStability.Source.Higham.Chapter28.Section03.Theorem01.StewartHaar.QRFactorHaar	relocate_whole	-
NumStability.Algorithms.TestMatrices.Higham28GaussianQRHaar	NumStability.gaussianQRQLawOfScale_eq_normalizedOrthogonalHaar	public	theorem	4	17	NumStability.Source.Higham.Chapter28.Section03.Theorem01.StewartHaar.QRFactorHaar	relocate_whole	-
NumStability.Algorithms.TestMatrices.Higham28GaussianQRHaar	NumStability.gaussianQRQLawOfScale_isProbabilityMeasure	public	theorem	5	16	NumStability.Source.Higham.Chapter28.Section03.Theorem01.StewartHaar.QRFactorHaar	relocate_whole	-
NumStability.Algorithms.TestMatrices.Higham28GaussianQRHaar	NumStability.gaussianQRQLaw_eq_normalizedOrthogonalHaar	public	theorem	6	14	NumStability.Source.Higham.Chapter28.Section03.Theorem01.StewartHaar.QRFactorHaar	relocate_whole	-
NumStability.Algorithms.TestMatrices.Higham28GaussianQRHaar	NumStability.gaussianQRQLaw_isHaarMeasure	public	theorem	7	13	NumStability.Source.Higham.Chapter28.Section03.Theorem01.StewartHaar.QRFactorHaar	relocate_whole	-
NumStability.Algorithms.TestMatrices.Higham28GaussianQRHaar	NumStability.gaussianQRQLaw_isMulLeftInvariant	public	theorem	8	12	NumStability.Source.Higham.Chapter28.Section03.Theorem01.StewartHaar.QRFactorHaar	relocate_whole	-
NumStability.Algorithms.TestMatrices.Higham28GaussianQRHaar	NumStability.gaussianQRQLaw_isProbabilityMeasure	public	theorem	9	11	NumStability.Source.Higham.Chapter28.Section03.Theorem01.StewartHaar.QRFactorHaar	relocate_whole	-
NumStability.Algorithms.TestMatrices.Higham28GaussianQRHaar	NumStability.gaussianQRQ_orthogonalLeftMul_ae	public	theorem	10	10	NumStability.Source.Higham.Chapter28.Section03.Theorem01.StewartHaar.QRFactorHaar	relocate_whole	-
NumStability.Algorithms.TestMatrices.Higham28GaussianQRHaar	NumStability.measurable_gaussianQRQ	public	theorem	11	9	NumStability.Source.Higham.Chapter28.Section03.Theorem01.StewartHaar.QRFactorHaar	relocate_whole	-
NumStability.Algorithms.TestMatrices.Higham28GaussianQRHaar	NumStability.measurable_gaussianQRQMatrix	public	theorem	12	8	NumStability.Source.Higham.Chapter28.Section03.Theorem01.StewartHaar.QRFactorHaar	relocate_whole	-
NumStability.Algorithms.TestMatrices.Higham28GaussianQRHaar	NumStability.measurable_modifiedGramSchmidtQ	public	theorem	13	7	NumStability.Source.Higham.Chapter28.Section03.Theorem01.StewartHaar.QRFactorHaar	relocate_whole	-
NumStability.Algorithms.TestMatrices.Higham28GaussianQRHaar	_private.NumStability.Algorithms.TestMatrices.Higham28GaussianQRHaar.0.NumStability.det_gsColumnsToMatrix_ne_zero_of_linearIndependent	private	theorem	14	4	NumStability.Source.Higham.Chapter28.Section03.Theorem01.StewartHaar.QRFactorHaar	relocate_whole	rename:_private.NumStability.Source.Higham.Chapter28.Section03.Theorem01.StewartHaar.QRFactorHaar.0.NumStability.det_gsColumnsToMatrix_ne_zero_of_linearIndependent
NumStability.Algorithms.TestMatrices.Higham28GaussianQRHaar	_private.NumStability.Algorithms.TestMatrices.Higham28GaussianQRHaar.0.NumStability.measurableSet_linearIndependent_fin_cons	private	theorem	15	1	NumStability.Source.Higham.Chapter28.Section03.Theorem01.StewartHaar.QRFactorHaar	relocate_whole	rename:_private.NumStability.Source.Higham.Chapter28.Section03.Theorem01.StewartHaar.QRFactorHaar.0.NumStability.measurableSet_linearIndependent_fin_cons
NumStability.Algorithms.TestMatrices.Higham28GaussianQRHaar	_private.NumStability.Algorithms.TestMatrices.Higham28GaussianQRHaar.0.NumStability.measurable_modifiedGramSchmidtVectors_apply	private	theorem	16	6	NumStability.Source.Higham.Chapter28.Section03.Theorem01.StewartHaar.QRFactorHaar	relocate_whole	rename:_private.NumStability.Source.Higham.Chapter28.Section03.Theorem01.StewartHaar.QRFactorHaar.0.NumStability.measurable_modifiedGramSchmidtVectors_apply
NumStability.Algorithms.TestMatrices.Higham28GaussianQRHaar	_private.NumStability.Algorithms.TestMatrices.Higham28GaussianQRHaar.0.NumStability.span_range_ne_top_of_linearIndependent_of_card_lt	private	theorem	17	0	NumStability.Source.Higham.Chapter28.Section03.Theorem01.StewartHaar.QRFactorHaar	relocate_whole	rename:_private.NumStability.Source.Higham.Chapter28.Section03.Theorem01.StewartHaar.QRFactorHaar.0.NumStability.span_range_ne_top_of_linearIndependent_of_card_lt
NumStability.Algorithms.TestMatrices.Higham28Ginibre	NumStability.RealGinibreFiniteExpectationFormula	public	definition	0	8	NumStability.Source.Higham.Chapter28.Section02.RealGinibre.FiniteExpectation.ClosedFormAsymptotics	relocate_split	-
NumStability.Algorithms.TestMatrices.Higham28Ginibre	NumStability.abs_ginibreHypergeometricTerm_succ_le	public	theorem	1	4	NumStability.Source.Higham.Chapter28.Section02.RealGinibre.FiniteExpectation.ClosedFormAsymptotics	relocate_split	-
