owner_module	path	base_blob_oid	baseline_declaration_name	ilean_path	ilean_sha256	ilean_root	source_ordinal	start_line_0	start_column_0	end_line_0	end_column_0	selection_start_line_0	selection_start_column_0	selection_end_line_0	selection_end_column_0	command_sha256
NumStability.Analysis.CStarMatrices.Basic.RealMatrixBridge	NumStability/Analysis/CStarMatrices/Basic/RealMatrixBridge.lean	6d045defdcc5f7b06c29ac8247897dec34543e25	NumStability.cstarMatrixColumnPair_reflectionAverage_commute_rangeReflection_of_sum	NumStability/Analysis/CStarMatrices/Basic/RealMatrixBridge.ilean	41337D518E55224543901E46916B347DBA0B3A384034D240C49FFBCEA689B28B	NumStability.cstarMatrixColumnPair_reflectionAverage_commute_rangeReflection_of_sum	89	1381	0	1397	62	1382	8	1382	78	E70C9E9D75011F90E3EFF7C9ADED03A411945C52BD7F79FB13213B6C2DEC229B
NumStability.Analysis.CStarMatrices.Basic.RealMatrixBridge	NumStability/Analysis/CStarMatrices/Basic/RealMatrixBridge.lean	6d045defdcc5f7b06c29ac8247897dec34543e25	NumStability.cstarMatrixColumnPair_reflectionAverage_commute_rangeProjection_of_sum	NumStability/Analysis/CStarMatrices/Basic/RealMatrixBridge.ilean	41337D518E55224543901E46916B347DBA0B3A384034D240C49FFBCEA689B28B	NumStability.cstarMatrixColumnPair_reflectionAverage_commute_rangeProjection_of_sum	90	1399	0	1420	12	1401	8	1401	78	D9E39D8C1DA90E57B06CA9421475AAF6EF7839FCEA602D4814A0AA7C142F2D90
NumStability.Analysis.CStarMatrices.Basic.RealMatrixBridge	NumStability/Analysis/CStarMatrices/Basic/RealMatrixBridge.lean	6d045defdcc5f7b06c29ac8247897dec34543e25	NumStability.cstarMatrixColumnPair_mul_columnPair_eq_columnPair_compression_of_commute	NumStability/Analysis/CStarMatrices/Basic/RealMatrixBridge.ilean	41337D518E55224543901E46916B347DBA0B3A384034D240C49FFBCEA689B28B	NumStability.cstarMatrixColumnPair_mul_columnPair_eq_columnPair_compression_of_commute	91	1422	0	1460	49	1425	8	1425	81	A19A36DB8C72F74EB72ED28BEE7592BBB24EFD4B3E764E53459BED615D7DA593
NumStability.Analysis.CStarMatrices.Basic.RealMatrixBridge	NumStability/Analysis/CStarMatrices/Basic/RealMatrixBridge.lean	6d045defdcc5f7b06c29ac8247897dec34543e25	NumStability.cstarMatrixColumnPair_conjTranspose_mul_eq_compression_mul_conjTranspose_of_commute	NumStability/Analysis/CStarMatrices/Basic/RealMatrixBridge.ilean	41337D518E55224543901E46916B347DBA0B3A384034D240C49FFBCEA689B28B	NumStability.cstarMatrixColumnPair_conjTranspose_mul_eq_compression_mul_conjTranspose_of_commute	92	1462	0	1497	68	1464	8	1464	91	9674696EE1756DDE7AC2729B37421DEE352D45F6DCDE9FF51B6C96D2BFDA5D26
NumStability.Analysis.CStarMatrices.Basic.RealMatrixBridge	NumStability/Analysis/CStarMatrices/Basic/RealMatrixBridge.lean	6d045defdcc5f7b06c29ac8247897dec34543e25	NumStability.cstarMatrixColumnPair_reflectionAverage_mul_columnPair_of_sum	NumStability/Analysis/CStarMatrices/Basic/RealMatrixBridge.ilean	41337D518E55224543901E46916B347DBA0B3A384034D240C49FFBCEA689B28B	NumStability.cstarMatrixColumnPair_reflectionAverage_mul_columnPair_of_sum	93	1499	0	1539	20	1501	8	1501	69	CD175294DC1B64E983CD34A40C6FF76AF6EF0003EB22790BD348795884893A7F
NumStability.Analysis.CStarMatrices.Basic.RealMatrixBridge	NumStability/Analysis/CStarMatrices/Basic/RealMatrixBridge.lean	6d045defdcc5f7b06c29ac8247897dec34543e25	NumStability.cstarMatrixColumnPair_conjTranspose_mul_reflectionAverage_of_sum	NumStability/Analysis/CStarMatrices/Basic/RealMatrixBridge.ilean	41337D518E55224543901E46916B347DBA0B3A384034D240C49FFBCEA689B28B	NumStability.cstarMatrixColumnPair_conjTranspose_mul_reflectionAverage_of_sum	94	1541	0	1581	20	1543	8	1543	72	373916BABB7B9861692AB4FB572A2C950E99BB924A5131E69177EB6C207D5D9B
NumStability.Analysis.CStarMatrices.Basic.RealMatrixBridge	NumStability/Analysis/CStarMatrices/Basic/RealMatrixBridge.lean	6d045defdcc5f7b06c29ac8247897dec34543e25	NumStability.cstarMatrix_unitary_conj_isStrictlyPositive	NumStability/Analysis/CStarMatrices/Basic/RealMatrixBridge.ilean	41337D518E55224543901E46916B347DBA0B3A384034D240C49FFBCEA689B28B	NumStability.cstarMatrix_unitary_conj_isStrictlyPositive	95	1583	0	1590	88	1584	8	1584	51	6915CA63689D33891F635B42A6FD241B256711A12F035258CB668396FB08EB51
NumStability.Analysis.CStarMatrices.Basic.RealMatrixBridge	NumStability/Analysis/CStarMatrices/Basic/RealMatrixBridge.lean	6d045defdcc5f7b06c29ac8247897dec34543e25	NumStability.cstarMatrixColumnPairRangeReflection_conj_isStrictlyPositive_of_sum	NumStability/Analysis/CStarMatrices/Basic/RealMatrixBridge.ilean	41337D518E55224543901E46916B347DBA0B3A384034D240C49FFBCEA689B28B	NumStability.cstarMatrixColumnPairRangeReflection_conj_isStrictlyPositive_of_sum	96	1592	0	1606	56	1594	8	1594	75	20C5A70F38A3497197A4EEA2C4F2095D90FA720B534F0BA937B2C69F58760B50
NumStability.Analysis.LinearOperators.MatrixPowers.Spijker.KreissBridge	NumStability/Analysis/LinearOperators/MatrixPowers/Spijker/KreissBridge.lean	a4a1f7e762d66404b52d947b1187c0957c9b9c2b	NumStability.cstarMatrixEuclideanCoefficientLinear	NumStability/Analysis/LinearOperators/MatrixPowers/Spijker/KreissBridge.ilean	ABE1034847B6AC7C05ABF91013163ACC47E98F350ACF7E7FEFBB50CB734F90DE	NumStability.cstarMatrixEuclideanCoefficientLinear	0	56	0	81	45	57	4	57	41	BA2B6A11C6BDF1218B9A962FC37A578B9B7CCE194A9DF2BCA8A770EF4242E635
NumStability.Analysis.LinearOperators.MatrixPowers.Spijker.KreissBridge	NumStability/Analysis/LinearOperators/MatrixPowers/Spijker/KreissBridge.lean	a4a1f7e762d66404b52d947b1187c0957c9b9c2b	NumStability.cstarMatrixEuclideanCoefficientCLM	NumStability/Analysis/LinearOperators/MatrixPowers/Spijker/KreissBridge.ilean	ABE1034847B6AC7C05ABF91013163ACC47E98F350ACF7E7FEFBB50CB734F90DE	NumStability.cstarMatrixEuclideanCoefficientCLM	1	83	0	87	67	84	4	84	38	49944995C1528358CB40A303F90BEB487BF582ACE83916F6C913CE9F258A525C
