consumer_module	consumer_path	consumer_scope	old_import	new_import
NumStability.Source.Higham.Chapter11.Higham11BunchKaufmanExplicitInverseSolve	NumStability/Source/Higham/Chapter11/Higham11BunchKaufmanExplicitInverseSolve.lean	in_wave	NumStability.Source.Higham.Chapter11.Higham11BunchKaufmanRoundedExecution	NumStability.Source.Higham.Chapter11.BunchKaufman.Rounded.Execution
NumStability.Source.Higham.Chapter11.Higham11BunchKaufmanExplicitInverseSolve	NumStability/Source/Higham/Chapter11/Higham11BunchKaufmanExplicitInverseSolve.lean	in_wave	NumStability.Source.Higham.Chapter11.Higham11BunchKaufmanRoundedFactors	NumStability.Source.Higham.Chapter11.BunchKaufman.Rounded.Factors
NumStability.Source.Higham.Chapter11.Higham11BunchKaufmanExplicitInverseSolve	NumStability/Source/Higham/Chapter11/Higham11BunchKaufmanExplicitInverseSolve.lean	in_wave	NumStability.Source.Higham.Chapter11.Higham11BunchKaufmanRoundedGlobal	NumStability.Source.Higham.Chapter11.BunchKaufman.Rounded.Global
NumStability.Source.Higham.Chapter11.Higham11BunchKaufmanExplicitInverseSolve	NumStability/Source/Higham/Chapter11/Higham11BunchKaufmanExplicitInverseSolve.lean	in_wave	NumStability.Source.Higham.Chapter11.Higham11BunchKaufmanRoundedGrowth	NumStability.Source.Higham.Chapter11.BunchKaufman.Rounded.Growth
NumStability.Source.Higham.Chapter11.Higham11BunchKaufmanExplicitInverseSolve	NumStability/Source/Higham/Chapter11/Higham11BunchKaufmanExplicitInverseSolve.lean	in_wave	NumStability.Source.Higham.Chapter11.Higham11BunchKaufmanRoundedGrowthSolve	NumStability.Source.Higham.Chapter11.BunchKaufman.Rounded.GrowthSolve
NumStability.Source.Higham.Chapter11.Higham11BunchKaufmanExplicitInverseSolve	NumStability/Source/Higham/Chapter11/Higham11BunchKaufmanExplicitInverseSolve.lean	in_wave	NumStability.Source.Higham.Chapter11.Higham11BunchKaufmanRoundedMiddleSolve	NumStability.Source.Higham.Chapter11.BunchKaufman.Rounded.MiddleSolve
NumStability.Source.Higham.Chapter11.Higham11BunchKaufmanExplicitInverseSolve	NumStability/Source/Higham/Chapter11/Higham11BunchKaufmanExplicitInverseSolve.lean	in_wave	NumStability.Source.Higham.Chapter11.Higham11BunchKaufmanRoundedSolve	NumStability.Source.Higham.Chapter11.BunchKaufman.Rounded.Solve
NumStability.Source.Higham.Chapter11.Higham11BunchKaufmanExplicitInverseTerminalClosedForm	NumStability/Source/Higham/Chapter11/Higham11BunchKaufmanExplicitInverseTerminalClosedForm.lean	in_wave	NumStability.Source.Higham.Chapter11.Higham11BunchKaufmanExplicitInverseSolve	NumStability.Source.Higham.Chapter11.BunchKaufman.ExplicitInverse.Solve
NumStability.Source.Higham.Chapter11.Higham11BunchKaufmanExplicitInverseTerminalClosedForm	NumStability/Source/Higham/Chapter11/Higham11BunchKaufmanExplicitInverseTerminalClosedForm.lean	in_wave	NumStability.Source.Higham.Chapter11.Higham11BunchKaufmanRoundedExecution	NumStability.Source.Higham.Chapter11.BunchKaufman.Rounded.Execution
NumStability.Source.Higham.Chapter11.Higham11BunchKaufmanExplicitInverseTerminalClosedForm	NumStability/Source/Higham/Chapter11/Higham11BunchKaufmanExplicitInverseTerminalClosedForm.lean	in_wave	NumStability.Source.Higham.Chapter11.Higham11BunchKaufmanRoundedFactors	NumStability.Source.Higham.Chapter11.BunchKaufman.Rounded.Factors
NumStability.Source.Higham.Chapter11.Higham11BunchKaufmanExplicitInverseTerminalClosedForm	NumStability/Source/Higham/Chapter11/Higham11BunchKaufmanExplicitInverseTerminalClosedForm.lean	in_wave	NumStability.Source.Higham.Chapter11.Higham11BunchKaufmanRoundedGlobal	NumStability.Source.Higham.Chapter11.BunchKaufman.Rounded.Global
NumStability.Source.Higham.Chapter11.Higham11BunchKaufmanExplicitInverseTerminalClosedForm	NumStability/Source/Higham/Chapter11/Higham11BunchKaufmanExplicitInverseTerminalClosedForm.lean	in_wave	NumStability.Source.Higham.Chapter11.Higham11BunchKaufmanRoundedGrowth	NumStability.Source.Higham.Chapter11.BunchKaufman.Rounded.Growth
NumStability.Source.Higham.Chapter11.Higham11BunchKaufmanExplicitInverseTerminalClosedForm	NumStability/Source/Higham/Chapter11/Higham11BunchKaufmanExplicitInverseTerminalClosedForm.lean	in_wave	NumStability.Source.Higham.Chapter11.Higham11BunchKaufmanRoundedMiddleSolve	NumStability.Source.Higham.Chapter11.BunchKaufman.Rounded.MiddleSolve
NumStability.Source.Higham.Chapter11.Higham11BunchKaufmanExplicitInverseTerminalClosedForm	NumStability/Source/Higham/Chapter11/Higham11BunchKaufmanExplicitInverseTerminalClosedForm.lean	in_wave	NumStability.Source.Higham.Chapter11.Higham11BunchKaufmanRoundedSolve	NumStability.Source.Higham.Chapter11.BunchKaufman.Rounded.Solve
NumStability.Source.Higham.Chapter11.Higham11BunchKaufmanExplicitInverseTerminalClosedForm	NumStability/Source/Higham/Chapter11/Higham11BunchKaufmanExplicitInverseTerminalClosedForm.lean	in_wave	NumStability.Source.Higham.Chapter11.Higham11BunchKaufmanRoundedTerminalClosedForm	NumStability.Source.Higham.Chapter11.BunchKaufman.Rounded.TerminalClosedForm
NumStability.Source.Higham.Chapter11.Higham11BunchKaufmanRoundedAccumulated	NumStability/Source/Higham/Chapter11/Higham11BunchKaufmanRoundedAccumulated.lean	in_wave	NumStability.Source.Higham.Chapter11.Higham11BunchKaufmanRoundedFactors	NumStability.Source.Higham.Chapter11.BunchKaufman.Rounded.Factors
NumStability.Source.Higham.Chapter11.Higham11BunchKaufmanRoundedBridge	NumStability/Source/Higham/Chapter11/Higham11BunchKaufmanRoundedBridge.lean	in_wave	NumStability.Source.Higham.Chapter11.Higham11BunchKaufmanActualSelector	NumStability.Source.Higham.Chapter11.BunchKaufman.ActualSelector
NumStability.Source.Higham.Chapter11.Higham11BunchKaufmanRoundedBridge	NumStability/Source/Higham/Chapter11/Higham11BunchKaufmanRoundedBridge.lean	in_wave	NumStability.Source.Higham.Chapter11.Higham11BunchKaufmanExactTrace	NumStability.Source.Higham.Chapter11.BunchKaufman.Exact.Trace
NumStability.Source.Higham.Chapter11.Higham11BunchKaufmanRoundedClosure	NumStability/Source/Higham/Chapter11/Higham11BunchKaufmanRoundedClosure.lean	in_wave	NumStability.Source.Higham.Chapter11.Higham11BunchKaufmanActualSelector	NumStability.Source.Higham.Chapter11.BunchKaufman.ActualSelector
NumStability.Source.Higham.Chapter11.Higham11BunchKaufmanRoundedClosure	NumStability/Source/Higham/Chapter11/Higham11BunchKaufmanRoundedClosure.lean	in_wave	NumStability.Source.Higham.Chapter11.Higham11BunchKaufmanRoundedBridge	NumStability.Source.Higham.Chapter11.BunchKaufman.Rounded.Bridge
NumStability.Source.Higham.Chapter11.Higham11BunchKaufmanRoundedClosure	NumStability/Source/Higham/Chapter11/Higham11BunchKaufmanRoundedClosure.lean	in_wave	NumStability.Source.Higham.Chapter11.Higham11BunchKaufmanRoundedExecution	NumStability.Source.Higham.Chapter11.BunchKaufman.Rounded.Execution
NumStability.Source.Higham.Chapter11.Higham11BunchKaufmanRoundedExecution	NumStability/Source/Higham/Chapter11/Higham11BunchKaufmanRoundedExecution.lean	in_wave	NumStability.Source.Higham.Chapter11.Higham11BunchKaufmanActualSelector	NumStability.Source.Higham.Chapter11.BunchKaufman.ActualSelector
NumStability.Source.Higham.Chapter11.Higham11BunchKaufmanRoundedExecution	NumStability/Source/Higham/Chapter11/Higham11BunchKaufmanRoundedExecution.lean	in_wave	NumStability.Source.Higham.Chapter11.Higham11BunchKaufmanExactTrace	NumStability.Source.Higham.Chapter11.BunchKaufman.Exact.Trace
NumStability.Source.Higham.Chapter11.Higham11BunchKaufmanRoundedExecution	NumStability/Source/Higham/Chapter11/Higham11BunchKaufmanRoundedExecution.lean	in_wave	NumStability.Source.Higham.Chapter11.Higham11BunchKaufmanRoundedBridge	NumStability.Source.Higham.Chapter11.BunchKaufman.Rounded.Bridge
NumStability.Source.Higham.Chapter11.Higham11BunchKaufmanRoundedFactors	NumStability/Source/Higham/Chapter11/Higham11BunchKaufmanRoundedFactors.lean	in_wave	NumStability.Source.Higham.Chapter11.Higham11BunchKaufmanActualSelector	NumStability.Source.Higham.Chapter11.BunchKaufman.ActualSelector
NumStability.Source.Higham.Chapter11.Higham11BunchKaufmanRoundedFactors	NumStability/Source/Higham/Chapter11/Higham11BunchKaufmanRoundedFactors.lean	in_wave	NumStability.Source.Higham.Chapter11.Higham11BunchKaufmanExactTrace	NumStability.Source.Higham.Chapter11.BunchKaufman.Exact.Trace
NumStability.Source.Higham.Chapter11.Higham11BunchKaufmanRoundedFactors	NumStability/Source/Higham/Chapter11/Higham11BunchKaufmanRoundedFactors.lean	in_wave	NumStability.Source.Higham.Chapter11.Higham11BunchKaufmanRoundedClosure	NumStability.Source.Higham.Chapter11.BunchKaufman.Rounded.Closure
NumStability.Source.Higham.Chapter11.Higham11BunchKaufmanRoundedFactors	NumStability/Source/Higham/Chapter11/Higham11BunchKaufmanRoundedFactors.lean	in_wave	NumStability.Source.Higham.Chapter11.Higham11BunchKaufmanRoundedExecution	NumStability.Source.Higham.Chapter11.BunchKaufman.Rounded.Execution
NumStability.Source.Higham.Chapter11.Higham11BunchKaufmanRoundedGlobal	NumStability/Source/Higham/Chapter11/Higham11BunchKaufmanRoundedGlobal.lean	in_wave	NumStability.Source.Higham.Chapter11.Higham11BunchKaufmanActualSelector	NumStability.Source.Higham.Chapter11.BunchKaufman.ActualSelector
NumStability.Source.Higham.Chapter11.Higham11BunchKaufmanRoundedGlobal	NumStability/Source/Higham/Chapter11/Higham11BunchKaufmanRoundedGlobal.lean	in_wave	NumStability.Source.Higham.Chapter11.Higham11BunchKaufmanExactTrace	NumStability.Source.Higham.Chapter11.BunchKaufman.Exact.Trace
