record_kind	direction	consumer_module	consumer_path	consumer_scope	consumer_wave	target_wave	target_owner	relation	edge_kind	source_declaration	targets	witness	details
owner_reachability	R03->R07	NumStability.Algorithms.LinearSystems.LU.Doolittle.Certificates	NumStability/Algorithms/LinearSystems/LU/Doolittle/Certificates.lean	in_scope	R03	R07	NumStability.Analysis.CStarMatrices.Basic.RealMatrixBridge	transitive				NumStability.Algorithms.LinearSystems.LU.Doolittle.Certificates -> NumStability.Algorithms.LU.GaussianElimination -> NumStability.Algorithms.MatMul -> NumStability.Algorithms.MatVec -> NumStability.Algorithms.DotProduct -> NumStability.Analysis.Error.RoundingProducts.Core -> NumStability.Analysis.MatrixInequalities.LiebTrace.Concavity -> NumStability.Analysis.CStarMatrices.Basic.RealMatrixBridge	distance=7
owner_reachability	R03->R07	NumStability.Algorithms.LinearSystems.LU.Doolittle.RoundedEntries	NumStability/Algorithms/LinearSystems/LU/Doolittle/RoundedEntries.lean	in_scope	R03	R07	NumStability.Analysis.CStarMatrices.Basic.RealMatrixBridge	transitive				NumStability.Algorithms.LinearSystems.LU.Doolittle.RoundedEntries -> NumStability.Algorithms.LU.GaussianElimination -> NumStability.Algorithms.MatMul -> NumStability.Algorithms.MatVec -> NumStability.Algorithms.DotProduct -> NumStability.Analysis.Error.RoundingProducts.Core -> NumStability.Analysis.MatrixInequalities.LiebTrace.Concavity -> NumStability.Analysis.CStarMatrices.Basic.RealMatrixBridge	distance=7
owner_reachability	R03->R07	NumStability.Analysis.AccuracyTests	NumStability/Analysis/AccuracyTests.lean	in_scope	R03	R07	NumStability.Analysis.CStarMatrices.Basic.RealMatrixBridge	transitive				NumStability.Analysis.AccuracyTests -> NumStability.Source.Higham.Chapter02.Section11.AccuracyTests.Basic -> NumStability.Analysis.Error.RoundingProducts.Core -> NumStability.Analysis.MatrixInequalities.LiebTrace.Concavity -> NumStability.Analysis.CStarMatrices.Basic.RealMatrixBridge	distance=4
owner_reachability	R03->R07	NumStability.Analysis.HighamChapter7	NumStability/Analysis/HighamChapter7.lean	in_scope	R03	R07	NumStability.Analysis.CStarMatrices.Basic.RealMatrixBridge	transitive				NumStability.Analysis.HighamChapter7 -> NumStability.Source.Higham.Chapter07.LinearSystemsConditioning.Problem13SparseResidual -> NumStability.Algorithms.DotProduct -> NumStability.Analysis.Error.RoundingProducts.Core -> NumStability.Analysis.MatrixInequalities.LiebTrace.Concavity -> NumStability.Analysis.CStarMatrices.Basic.RealMatrixBridge	distance=5
owner_reachability	R03->R07	NumStability.Analysis.IncreasingPrecision	NumStability/Analysis/IncreasingPrecision.lean	in_scope	R03	R07	NumStability.Analysis.CStarMatrices.Basic.RealMatrixBridge	transitive				NumStability.Analysis.IncreasingPrecision -> NumStability.Analysis.BeneficialRounding -> NumStability.Algorithms.LU.LUSolve -> NumStability.Algorithms.LU.GaussianElimination -> NumStability.Algorithms.MatMul -> NumStability.Algorithms.MatVec -> NumStability.Algorithms.DotProduct -> NumStability.Analysis.Error.RoundingProducts.Core -> NumStability.Analysis.MatrixInequalities.LiebTrace.Concavity -> NumStability.Analysis.CStarMatrices.Basic.RealMatrixBridge	distance=9
owner_reachability	R03->R07	NumStability.Analysis.InstabilityWithoutCancellation	NumStability/Analysis/InstabilityWithoutCancellation.lean	in_scope	R03	R07	NumStability.Analysis.CStarMatrices.Basic.RealMatrixBridge	transitive				NumStability.Analysis.InstabilityWithoutCancellation -> NumStability.Algorithms.LU.GaussianElimination -> NumStability.Algorithms.MatMul -> NumStability.Algorithms.MatVec -> NumStability.Algorithms.DotProduct -> NumStability.Analysis.Error.RoundingProducts.Core -> NumStability.Analysis.MatrixInequalities.LiebTrace.Concavity -> NumStability.Analysis.CStarMatrices.Basic.RealMatrixBridge	distance=7
owner_reachability	R03->R07	NumStability.Source.Higham.Chapter06.Theorem05.DistanceToSingularity.Chapter07Equation26	NumStability/Source/Higham/Chapter06/Theorem05/DistanceToSingularity/Chapter07Equation26.lean	in_scope	R03	R07	NumStability.Analysis.CStarMatrices.Basic.RealMatrixBridge	transitive				NumStability.Source.Higham.Chapter06.Theorem05.DistanceToSingularity.Chapter07Equation26 -> NumStability.Algorithms.CondEstimation -> NumStability.Algorithms.LU.GrowthFactor -> NumStability.Algorithms.LU.GaussianElimination -> NumStability.Algorithms.MatMul -> NumStability.Algorithms.MatVec -> NumStability.Algorithms.DotProduct -> NumStability.Analysis.Error.RoundingProducts.Core -> NumStability.Analysis.MatrixInequalities.LiebTrace.Concavity -> NumStability.Analysis.CStarMatrices.Basic.RealMatrixBridge	distance=9
owner_reachability	R03->R07	NumStability.Source.Higham.Chapter08.Equation15.GlobalEnvelopeCounterexample.RawCube	NumStability/Source/Higham/Chapter08/Equation15/GlobalEnvelopeCounterexample/RawCube.lean	in_scope	R03	R07	NumStability.Analysis.CStarMatrices.Basic.RealMatrixBridge	transitive				NumStability.Source.Higham.Chapter08.Equation15.GlobalEnvelopeCounterexample.RawCube -> NumStability.Source.Higham.Chapter08.Section04.FanInCore.AllOrdersEnvelope -> NumStability.Algorithms.MatVec -> NumStability.Algorithms.DotProduct -> NumStability.Analysis.Error.RoundingProducts.Core -> NumStability.Analysis.MatrixInequalities.LiebTrace.Concavity -> NumStability.Analysis.CStarMatrices.Basic.RealMatrixBridge	distance=6
owner_reachability	R03->R07	NumStability.Source.Higham.Chapter12.IterativeRefinement	NumStability/Source/Higham/Chapter12/IterativeRefinement.lean	in_scope	R03	R07	NumStability.Analysis.CStarMatrices.Basic.RealMatrixBridge	transitive				NumStability.Source.Higham.Chapter12.IterativeRefinement -> NumStability.Source.Higham.Chapter12.IterativeRefinement.All -> NumStability.Source.Higham.Chapter12.IterativeRefinement.Chapter12Bounds -> NumStability.Algorithms.DotProduct -> NumStability.Analysis.Error.RoundingProducts.Core -> NumStability.Analysis.MatrixInequalities.LiebTrace.Concavity -> NumStability.Analysis.CStarMatrices.Basic.RealMatrixBridge	distance=6
owner_reachability	R03->R07	NumStability.Source.Higham.Chapter12.IterativeRefinement.Chapter12Bounds	NumStability/Source/Higham/Chapter12/IterativeRefinement/Chapter12Bounds.lean	in_scope	R03	R07	NumStability.Analysis.CStarMatrices.Basic.RealMatrixBridge	transitive				NumStability.Source.Higham.Chapter12.IterativeRefinement.Chapter12Bounds -> NumStability.Algorithms.DotProduct -> NumStability.Analysis.Error.RoundingProducts.Core -> NumStability.Analysis.MatrixInequalities.LiebTrace.Concavity -> NumStability.Analysis.CStarMatrices.Basic.RealMatrixBridge	distance=4
owner_reachability	R03->R07	NumStability.Source.Higham.Chapter12.IterativeRefinement.LegacyChapter11Surface	NumStability/Source/Higham/Chapter12/IterativeRefinement/LegacyChapter11Surface.lean	in_scope	R03	R07	NumStability.Analysis.CStarMatrices.Basic.RealMatrixBridge	transitive				NumStability.Source.Higham.Chapter12.IterativeRefinement.LegacyChapter11Surface -> NumStability.Algorithms.DotProduct -> NumStability.Analysis.Error.RoundingProducts.Core -> NumStability.Analysis.MatrixInequalities.LiebTrace.Concavity -> NumStability.Analysis.CStarMatrices.Basic.RealMatrixBridge	distance=4
owner_reachability	R07->R03	NumStability.Algorithms.MatrixPowers	NumStability/Algorithms/MatrixPowers.lean	in_scope	R07	R03	NumStability.FloatingPoint.Model	transitive				NumStability.Algorithms.MatrixPowers -> NumStability.Algorithms.MatVec -> NumStability.FloatingPoint.Model	distance=2
owner_reachability	R07->R03	NumStability.Algorithms.MatrixPowersComplex	NumStability/Algorithms/MatrixPowersComplex.lean	in_scope	R07	R03	NumStability.FloatingPoint.Model	transitive				NumStability.Algorithms.MatrixPowersComplex -> NumStability.Source.Higham.Chapter18.Section02.FinitePrecisionPowers.Theorems01And02.ComplexJordan -> NumStability.FloatingPoint.Model	distance=2
owner_reachability	R07->R03	NumStability.Algorithms.MatrixPowersJordan	NumStability/Algorithms/MatrixPowersJordan.lean	in_scope	R07	R03	NumStability.FloatingPoint.Model	transitive				NumStability.Algorithms.MatrixPowersJordan -> NumStability.Source.Higham.Chapter18.Section02.FinitePrecisionPowers.Theorems01And02.RealJordan -> NumStability.FloatingPoint.Model	distance=2
owner_reachability	R07->R03	NumStability.Algorithms.MatrixPowersLp	NumStability/Algorithms/MatrixPowersLp.lean	in_scope	R07	R03	NumStability.FloatingPoint.Model	transitive				NumStability.Algorithms.MatrixPowersLp -> NumStability.Algorithms.MatrixPowersComplex -> NumStability.Source.Higham.Chapter18.Section02.FinitePrecisionPowers.Theorems01And02.ComplexJordan -> NumStability.FloatingPoint.Model	distance=3
owner_reachability	R07->R03	NumStability.Algorithms.MatrixPowersLpJordan	NumStability/Algorithms/MatrixPowersLpJordan.lean	in_scope	R07	R03	NumStability.FloatingPoint.Model	transitive				NumStability.Algorithms.MatrixPowersLpJordan -> NumStability.Algorithms.MatrixPowersLp -> NumStability.Algorithms.MatrixPowersComplex -> NumStability.Source.Higham.Chapter18.Section02.FinitePrecisionPowers.Theorems01And02.ComplexJordan -> NumStability.FloatingPoint.Model	distance=4
owner_reachability	R07->R03	NumStability.Algorithms.MatrixPowersPseudospectral	NumStability/Algorithms/MatrixPowersPseudospectral.lean	in_scope	R07	R03	NumStability.FloatingPoint.Model	transitive				NumStability.Algorithms.MatrixPowersPseudospectral -> NumStability.Algorithms.MatrixPowersComplex -> NumStability.Source.Higham.Chapter18.Section02.FinitePrecisionPowers.Theorems01And02.ComplexJordan -> NumStability.FloatingPoint.Model	distance=3
owner_reachability	R07->R03	NumStability.Algorithms.MatrixPowersPseudospectralCriterion	NumStability/Algorithms/MatrixPowersPseudospectralCriterion.lean	in_scope	R07	R03	NumStability.FloatingPoint.Model	transitive				NumStability.Algorithms.MatrixPowersPseudospectralCriterion -> NumStability.Source.Higham.Chapter18.Section02.FinitePrecisionPowers.Theorems01And02.PseudospectralCriterion -> NumStability.Algorithms.MatrixPowers.ComputedIteration.Model -> NumStability.FloatingPoint.Model	distance=3
owner_reachability	R07->R03	NumStability.Algorithms.MatrixPowersSpectral	NumStability/Algorithms/MatrixPowersSpectral.lean	in_scope	R07	R03	NumStability.FloatingPoint.Model	transitive				NumStability.Algorithms.MatrixPowersSpectral -> NumStability.Source.Higham.Chapter18.Section02.FinitePrecisionPowers.Theorems01And02.SpectralCriterion -> NumStability.FloatingPoint.Model	distance=2
owner_reachability	R07->R03	NumStability.Analysis.DunfordResidue	NumStability/Analysis/DunfordResidue.lean	in_scope	R07	R03	NumStability.FloatingPoint.Model	transitive				NumStability.Analysis.DunfordResidue -> NumStability.Analysis.ResolventFunctionalCalculus -> NumStability.Analysis.PseudospectralResolvent -> NumStability.Algorithms.MatrixPowersPseudospectralCriterion -> NumStability.Source.Higham.Chapter18.Section02.FinitePrecisionPowers.Theorems01And02.PseudospectralCriterion -> NumStability.Algorithms.MatrixPowers.ComputedIteration.Model -> NumStability.FloatingPoint.Model	distance=6
owner_reachability	R07->R03	NumStability.Analysis.MatrixPowersBaiDemmelGu	NumStability/Analysis/MatrixPowersBaiDemmelGu.lean	in_scope	R07	R03	NumStability.FloatingPoint.Model	transitive				NumStability.Analysis.MatrixPowersBaiDemmelGu -> NumStability.Analysis.PseudospectralPowerBound -> NumStability.Analysis.DunfordResidue -> NumStability.Analysis.ResolventFunctionalCalculus -> NumStability.Analysis.PseudospectralResolvent -> NumStability.Algorithms.MatrixPowersPseudospectralCriterion -> NumStability.Source.Higham.Chapter18.Section02.FinitePrecisionPowers.Theorems01And02.PseudospectralCriterion -> NumStability.Algorithms.MatrixPowers.ComputedIteration.Model -> NumStability.FloatingPoint.Model	distance=8
owner_reachability	R07->R03	NumStability.Analysis.MatrixPowersBaiDemmelGuDistance	NumStability/Analysis/MatrixPowersBaiDemmelGuDistance.lean	in_scope	R07	R03	NumStability.FloatingPoint.Model	transitive				NumStability.Analysis.MatrixPowersBaiDemmelGuDistance -> NumStability.Analysis.MatrixPowersBaiDemmelGu -> NumStability.Analysis.PseudospectralPowerBound -> NumStability.Analysis.DunfordResidue -> NumStability.Analysis.ResolventFunctionalCalculus -> NumStability.Analysis.PseudospectralResolvent -> NumStability.Algorithms.MatrixPowersPseudospectralCriterion -> NumStability.Source.Higham.Chapter18.Section02.FinitePrecisionPowers.Theorems01And02.PseudospectralCriterion -> NumStability.Algorithms.MatrixPowers.ComputedIteration.Model -> NumStability.FloatingPoint.Model	distance=9
owner_reachability	R07->R03	NumStability.Analysis.MatrixPowersGautschi	NumStability/Analysis/MatrixPowersGautschi.lean	in_scope	R07	R03	NumStability.FloatingPoint.Model	transitive				NumStability.Analysis.MatrixPowersGautschi -> NumStability.Algorithms.MatrixPowersComplex -> NumStability.Source.Higham.Chapter18.Section02.FinitePrecisionPowers.Theorems01And02.ComplexJordan -> NumStability.FloatingPoint.Model	distance=3
owner_reachability	R07->R03	NumStability.Analysis.MatrixPowersKreiss	NumStability/Analysis/MatrixPowersKreiss.lean	in_scope	R07	R03	NumStability.FloatingPoint.Model	transitive				NumStability.Analysis.MatrixPowersKreiss -> NumStability.Analysis.PseudospectralPowerBound -> NumStability.Analysis.DunfordResidue -> NumStability.Analysis.ResolventFunctionalCalculus -> NumStability.Analysis.PseudospectralResolvent -> NumStability.Algorithms.MatrixPowersPseudospectralCriterion -> NumStability.Source.Higham.Chapter18.Section02.FinitePrecisionPowers.Theorems01And02.PseudospectralCriterion -> NumStability.Algorithms.MatrixPowers.ComputedIteration.Model -> NumStability.FloatingPoint.Model	distance=8
owner_reachability	R07->R03	NumStability.Analysis.MatrixPowersKreissSpijker	NumStability/Analysis/MatrixPowersKreissSpijker.lean	in_scope	R07	R03	NumStability.FloatingPoint.Model	transitive				NumStability.Analysis.MatrixPowersKreissSpijker -> NumStability.Analysis.MatrixPowersKreiss -> NumStability.Analysis.PseudospectralPowerBound -> NumStability.Analysis.DunfordResidue -> NumStability.Analysis.ResolventFunctionalCalculus -> NumStability.Analysis.PseudospectralResolvent -> NumStability.Algorithms.MatrixPowersPseudospectralCriterion -> NumStability.Source.Higham.Chapter18.Section02.FinitePrecisionPowers.Theorems01And02.PseudospectralCriterion -> NumStability.Algorithms.MatrixPowers.ComputedIteration.Model -> NumStability.FloatingPoint.Model	distance=9
owner_reachability	R07->R03	NumStability.Analysis.MatrixPowersLp185Primary	NumStability/Analysis/MatrixPowersLp185Primary.lean	in_scope	R07	R03	NumStability.FloatingPoint.Model	transitive				NumStability.Analysis.MatrixPowersLp185Primary -> NumStability.Algorithms.MatrixPowersJordan -> NumStability.Source.Higham.Chapter18.Section02.FinitePrecisionPowers.Theorems01And02.RealJordan -> NumStability.FloatingPoint.Model	distance=3
owner_reachability	R07->R03	NumStability.Analysis.MatrixPowersSpijkerClosure	NumStability/Analysis/MatrixPowersSpijkerClosure.lean	in_scope	R07	R03	NumStability.FloatingPoint.Model	transitive				NumStability.Analysis.MatrixPowersSpijkerClosure -> NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis -> NumStability.Analysis.MatrixPowersSpijkerPlanar -> NumStability.Analysis.MatrixPowersSpijkerRational -> NumStability.Analysis.MatrixPowersKreissSpijker -> NumStability.Analysis.MatrixPowersKreiss -> NumStability.Analysis.PseudospectralPowerBound -> NumStability.Analysis.DunfordResidue -> NumStability.Analysis.ResolventFunctionalCalculus -> NumStability.Analysis.PseudospectralResolvent -> NumStability.Algorithms.MatrixPowersPseudospectralCriterion -> NumStability.Source.Higham.Chapter18.Section02.FinitePrecisionPowers.Theorems01And02.PseudospectralCriterion -> NumStability.Algorithms.MatrixPowers.ComputedIteration.Model -> NumStability.FloatingPoint.Model	distance=13
