format	1
declaration	historical_module	destination_module	decision	kind	visibility	command_root	start_line
NumStability.Higham21GivensFixedAccumulationCertificate.ctorIdx	NumStability.Algorithms.Underdetermined.Higham21GivensRounded	NumStability.Algorithms.LinearSystems.Underdetermined.QR.Givens.StoredReplay.RoundedReplay	relocate_reusable	definition	public	NumStability.Higham21GivensFixedAccumulationCertificate	45
NumStability.Higham21GivensFixedAccumulationCertificate.fixed	NumStability.Algorithms.Underdetermined.Higham21GivensRounded	NumStability.Algorithms.LinearSystems.Underdetermined.QR.Givens.StoredReplay.RoundedReplay	relocate_reusable	theorem	public	NumStability.Higham21GivensFixedAccumulationCertificate	45
NumStability.Higham21GivensFixedAccumulationCertificate.mk	NumStability.Algorithms.Underdetermined.Higham21GivensRounded	NumStability.Algorithms.LinearSystems.Underdetermined.QR.Givens.StoredReplay.RoundedReplay	relocate_reusable	constructor	public	NumStability.Higham21GivensFixedAccumulationCertificate	45
NumStability.Higham21GivensFixedAccumulationCertificate.mk.inj	NumStability.Algorithms.Underdetermined.Higham21GivensRounded	NumStability.Algorithms.LinearSystems.Underdetermined.QR.Givens.StoredReplay.RoundedReplay	relocate_reusable	theorem	public	NumStability.Higham21GivensFixedAccumulationCertificate	45
NumStability.Higham21GivensFixedAccumulationCertificate.mk.injEq	NumStability.Algorithms.Underdetermined.Higham21GivensRounded	NumStability.Algorithms.LinearSystems.Underdetermined.QR.Givens.StoredReplay.RoundedReplay	relocate_reusable	theorem	public	NumStability.Higham21GivensFixedAccumulationCertificate	45
NumStability.Higham21GivensFixedAccumulationCertificate.mk.noConfusion	NumStability.Algorithms.Underdetermined.Higham21GivensRounded	NumStability.Algorithms.LinearSystems.Underdetermined.QR.Givens.StoredReplay.RoundedReplay	relocate_reusable	definition	public	NumStability.Higham21GivensFixedAccumulationCertificate	45
NumStability.Higham21GivensFixedAccumulationCertificate.mk.sizeOf_spec	NumStability.Algorithms.Underdetermined.Higham21GivensRounded	NumStability.Algorithms.LinearSystems.Underdetermined.QR.Givens.StoredReplay.RoundedReplay	relocate_reusable	theorem	public	NumStability.Higham21GivensFixedAccumulationCertificate	45
NumStability.Higham21GivensFixedAccumulationCertificate.noConfusion	NumStability.Algorithms.Underdetermined.Higham21GivensRounded	NumStability.Algorithms.LinearSystems.Underdetermined.QR.Givens.StoredReplay.RoundedReplay	relocate_reusable	definition	public	NumStability.Higham21GivensFixedAccumulationCertificate	45
NumStability.Higham21GivensFixedAccumulationCertificate.noConfusionType	NumStability.Algorithms.Underdetermined.Higham21GivensRounded	NumStability.Algorithms.LinearSystems.Underdetermined.QR.Givens.StoredReplay.RoundedReplay	relocate_reusable	definition	public	NumStability.Higham21GivensFixedAccumulationCertificate	45
NumStability.Higham21GivensFixedAccumulationCertificate.rec	NumStability.Algorithms.Underdetermined.Higham21GivensRounded	NumStability.Algorithms.LinearSystems.Underdetermined.QR.Givens.StoredReplay.RoundedReplay	relocate_reusable	recursor	public	NumStability.Higham21GivensFixedAccumulationCertificate	45
NumStability.Higham21GivensFixedAccumulationCertificate.recOn	NumStability.Algorithms.Underdetermined.Higham21GivensRounded	NumStability.Algorithms.LinearSystems.Underdetermined.QR.Givens.StoredReplay.RoundedReplay	relocate_reusable	definition	public	NumStability.Higham21GivensFixedAccumulationCertificate	45
NumStability.Higham21GivensFixedAccumulationCertificate.replay_eq	NumStability.Algorithms.Underdetermined.Higham21GivensRounded	NumStability.Algorithms.LinearSystems.Underdetermined.QR.Givens.StoredReplay.RoundedReplay	relocate_reusable	theorem	public	NumStability.Higham21GivensFixedAccumulationCertificate	45
NumStability.Higham21GivensOperationalGammaIndex	NumStability.Algorithms.Underdetermined.Higham21Theorem214SourceClosure	NumStability.Source.Higham.Chapter21.Theorem04.SourceClosure.SourceClosure	relocate_source	definition	public	NumStability.Higham21GivensOperationalGammaIndex	275
NumStability.Higham21GivensOperationalGammaIndex.valid8	NumStability.Algorithms.Underdetermined.Higham21Theorem214SourceClosure	NumStability.Source.Higham.Chapter21.Theorem04.SourceClosure.SourceClosure	relocate_source	theorem	public	NumStability.Higham21GivensOperationalGammaIndex.valid8	282
NumStability.Higham21GivensOperationalGammaIndex.validM	NumStability.Algorithms.Underdetermined.Higham21Theorem214SourceClosure	NumStability.Source.Higham.Chapter21.Theorem04.SourceClosure.SourceClosure	relocate_source	theorem	public	NumStability.Higham21GivensOperationalGammaIndex.validM	299
NumStability.Higham21GivensQMethodApplicationCertificate	NumStability.Algorithms.Underdetermined.Higham21GivensRounded	NumStability.Algorithms.LinearSystems.Underdetermined.QR.Givens.StoredReplay.RoundedReplay	relocate_reusable	definition	public	NumStability.Higham21GivensQMethodApplicationCertificate	402
NumStability.Higham21GivensQMethodRowwiseCoefficient	NumStability.Algorithms.Underdetermined.Higham21Givens	NumStability.Source.Higham.Chapter21.Theorem04.GivensQMethod.Core	relocate_source	definition	public	NumStability.Higham21GivensQMethodRowwiseCoefficient	125
