declaration	owner	reason
NumStability.ginibreIncidenceLebesgueMeasure_isAddHaarMeasure	NumStability.Algorithms.TestMatrices.Higham28GinibreGaussianBridge	in the pinned reverse closure
NumStability.ginibreIncidenceLebesgueMeasure_map	NumStability.Algorithms.TestMatrices.Higham28GinibreGaussianBridge	consumes retained material (command-level closure)
NumStability.ginibreIncidenceRootRank_lt_of_chart_eq	NumStability.Algorithms.TestMatrices.Higham28GinibreIncidence	in the pinned reverse closure
NumStability.ginibreNuisanceReorder	NumStability.Algorithms.TestMatrices.Higham28GinibreSignedIncidence	in the pinned reverse closure
NumStability.ginibreNuisanceReorder_apply	NumStability.Algorithms.TestMatrices.Higham28GinibreSignedIncidence	in the pinned reverse closure
NumStability.ginibrePlaneChartBorelSpace	NumStability.Algorithms.TestMatrices.Higham28GinibrePlaneChart	file-scoped local ambient declaration
NumStability.ginibrePlaneChartDerivativeLinearMap	NumStability.Algorithms.TestMatrices.Higham28GinibrePlaneChart	in the pinned reverse closure
NumStability.ginibrePlaneChartDerivativeLinearMap_det	NumStability.Algorithms.TestMatrices.Higham28GinibrePlaneChart	in the pinned reverse closure
NumStability.ginibrePlaneChartMeasurableSpace	NumStability.Algorithms.TestMatrices.Higham28GinibrePlaneChart	file-scoped local ambient declaration
NumStability.ginibrePlaneMatrixNormedAddCommGroup	NumStability.Algorithms.TestMatrices.Higham28GinibrePlaneChart	file-scoped local ambient declaration
NumStability.ginibrePlaneMatrixNormedSpace	NumStability.Algorithms.TestMatrices.Higham28GinibrePlaneChart	file-scoped local ambient declaration
NumStability.ginibrePlaneSylvesterBridgeModule	NumStability.Algorithms.TestMatrices.Higham28GinibrePlaneSylvester	file-scoped local ambient declaration
NumStability.ginibrePlaneSylvesterLinearMap_det_complex_eq_characteristicProduct	NumStability.Algorithms.TestMatrices.Higham28GinibrePlaneSylvester	consumes retained material (command-level closure)
NumStability.ginibrePlaneSylvesterLinearMap_det_eq_charpoly_aeval	NumStability.Algorithms.TestMatrices.Higham28GinibrePlaneSylvester	consumes retained material (command-level closure)
NumStability.ginibrePlaneSylvesterOperator	NumStability.Algorithms.TestMatrices.Higham28GinibrePlaneSylvester	consumes retained material (command-level closure)
NumStability.ginibrePlaneSylvesterOperator_det_complex_eq_characteristicProduct	NumStability.Algorithms.TestMatrices.Higham28GinibrePlaneSylvester	consumes retained material (command-level closure)
NumStability.ginibrePlaneSylvesterOperator_det_eq_charpoly_aeval	NumStability.Algorithms.TestMatrices.Higham28GinibrePlaneSylvester	consumes retained material (command-level closure)
NumStability.ginibrePlaneSylvesterOperator_toMatrix_apply	NumStability.Algorithms.TestMatrices.Higham28GinibrePlaneSylvester	consumes retained material (command-level closure)
NumStability.ginibrePlaneSylvesterOperator_toMatrix_eq_reindex_block	NumStability.Algorithms.TestMatrices.Higham28GinibrePlaneSylvester	consumes retained material (command-level closure)
NumStability.ginibreRegularFiberMultiplicity_eq_realEigenvalueCount	NumStability.Algorithms.TestMatrices.Higham28GinibreMultiplicity	in the pinned reverse closure
NumStability.ginibreSignedOneRootMoment	NumStability.Algorithms.TestMatrices.Higham28GinibreSignedIncidence	consumes retained material (command-level closure)
NumStability.ginibreSignedTwoRootSlice	NumStability.Algorithms.TestMatrices.Higham28GinibreSignedIncidence	consumes retained material (command-level closure)
NumStability.hasFDerivAt_ginibrePlaneChart	NumStability.Algorithms.TestMatrices.Higham28GinibrePlaneChart	in the pinned reverse closure
NumStability.hasFDerivAt_ginibrePlaneChartTopRight	NumStability.Algorithms.TestMatrices.Higham28GinibrePlaneChart	in the pinned reverse closure
NumStability.higham28ReciprocalInvolution_lower_and_diag	NumStability.Algorithms.TestMatrices.Higham28ReciprocalSPD	in the pinned reverse closure
NumStability.higham28ReciprocalSPD_lower_reverseCholeskyFactor	NumStability.Algorithms.TestMatrices.Higham28ReciprocalSPD	in the pinned reverse closure
NumStability.higham9_sineMatrix_isOrthogonal	NumStability.Algorithms.TestMatrices.Higham28Contracts	consumes retained material (command-level closure)
NumStability.hilbertCentralDelannoy_eq_sum_sq	NumStability.Algorithms.TestMatrices.Higham28HilbertCondition	in the pinned reverse closure
NumStability.hilbertCentralDelannoy_log_rate	NumStability.Algorithms.TestMatrices.Higham28HilbertCondition	in the pinned reverse closure
NumStability.hilbertCentralDelannoy_lower	NumStability.Algorithms.TestMatrices.Higham28HilbertCondition	in the pinned reverse closure
NumStability.hilbertCentralDelannoy_upper	NumStability.Algorithms.TestMatrices.Higham28HilbertCondition	in the pinned reverse closure
NumStability.hilbertConditionTwo_log_rate	NumStability.Algorithms.TestMatrices.Higham28HilbertCondition	in the pinned reverse closure
NumStability.hilbertConditionTwo_log_rate_succ	NumStability.Algorithms.TestMatrices.Higham28HilbertCondition	in the pinned reverse closure
NumStability.hilbertDetLeadingLogRate_proved	NumStability.Algorithms.TestMatrices.Higham28HilbertAsymptotic	in the pinned reverse closure
NumStability.injOn_ginibreIncidenceChart_rankPiece	NumStability.Algorithms.TestMatrices.Higham28GinibreIncidence	in the pinned reverse closure
NumStability.instBorelSpaceForallFinComplex_numStability	NumStability.Algorithms.TestMatrices.Higham28GinibreRoots	file-scoped local ambient declaration
NumStability.instBorelSpaceGinibreRawMatrix	NumStability.Algorithms.TestMatrices.Higham28GinibreRoots	file-scoped local ambient declaration
NumStability.instDecidable_numStability	NumStability.Algorithms.TestMatrices.Higham28GinibreSignedRankTransfer	file-scoped local ambient declaration
