declaration	owner	visibility	in_union_closure	in_signature_closure	in_body_closure
NumStability.ginibreNuisanceReorder	NumStability.Algorithms.TestMatrices.Higham28GinibreSignedIncidence	public	True	True	True
NumStability.ginibreNuisanceReorder_apply	NumStability.Algorithms.TestMatrices.Higham28GinibreSignedIncidence	public	True	True	True
NumStability.ginibrePlaneChartDerivativeLinearMap	NumStability.Algorithms.TestMatrices.Higham28GinibrePlaneChart	public	True	False	True
NumStability.ginibrePlaneChartDerivativeLinearMap_det	NumStability.Algorithms.TestMatrices.Higham28GinibrePlaneChart	public	True	True	True
NumStability.ginibreRegularFiberMultiplicity_eq_realEigenvalueCount	NumStability.Algorithms.TestMatrices.Higham28GinibreMultiplicity	public	True	False	True
NumStability.hasFDerivAt_ginibrePlaneChart	NumStability.Algorithms.TestMatrices.Higham28GinibrePlaneChart	public	True	False	True
NumStability.hasFDerivAt_ginibrePlaneChartTopRight	NumStability.Algorithms.TestMatrices.Higham28GinibrePlaneChart	public	True	False	True
NumStability.higham28ReciprocalInvolution_lower_and_diag	NumStability.Algorithms.TestMatrices.Higham28ReciprocalSPD	public	True	False	True
NumStability.higham28ReciprocalSPD_lower_reverseCholeskyFactor	NumStability.Algorithms.TestMatrices.Higham28ReciprocalSPD	public	True	False	True
NumStability.hilbertCentralDelannoy_eq_sum_sq	NumStability.Algorithms.TestMatrices.Higham28HilbertCondition	public	True	False	True
NumStability.hilbertCentralDelannoy_log_rate	NumStability.Algorithms.TestMatrices.Higham28HilbertCondition	public	True	False	True
NumStability.hilbertCentralDelannoy_lower	NumStability.Algorithms.TestMatrices.Higham28HilbertCondition	public	True	False	True
NumStability.hilbertCentralDelannoy_upper	NumStability.Algorithms.TestMatrices.Higham28HilbertCondition	public	True	False	True
NumStability.hilbertConditionTwo_log_rate	NumStability.Algorithms.TestMatrices.Higham28HilbertCondition	public	True	False	True
NumStability.hilbertConditionTwo_log_rate_succ	NumStability.Algorithms.TestMatrices.Higham28HilbertCondition	public	True	False	True
NumStability.hilbertDetLeadingLogRate_proved	NumStability.Algorithms.TestMatrices.Higham28HilbertAsymptotic	public	True	False	True
NumStability.injOn_ginibreIncidenceChart_rankPiece	NumStability.Algorithms.TestMatrices.Higham28GinibreIncidence	public	True	False	True
NumStability.integrableOn_ginibreSignedIncidenceBelow	NumStability.Algorithms.TestMatrices.Higham28GinibreTruncatedIncidence	public	True	False	True
NumStability.integrable_complexUpperEigenvalueCount	NumStability.Algorithms.TestMatrices.Higham28GinibreComplexPairs	public	True	False	True
