declaration	kind	visibility	historical_owner	destination_module	retention_reason	private_floor	closure_depth	witness_source	witness_target	witness_edge_kind	command_root	start_line
NumStability.singular_error_split_semiconvergent	theorem	public	NumStability.Algorithms.StationaryIterationSemiconvergent	NumStability.Algorithms.StationaryIterationSemiconvergent	classify_document_only_owner	no					NumStability.singular_error_split_semiconvergent	283
NumStability.singular_error_split_semiconvergent_of_block_data	theorem	public	NumStability.Algorithms.StationaryIterationSemiconvergentExistence	NumStability.Algorithms.StationaryIterationSemiconvergentExistence	classify_document_only_owner	no					NumStability.singular_error_split_semiconvergent_of_block_data	304
NumStability.sourceComputedIteration_actual_forward_bound	theorem	public	NumStability.Algorithms.StationaryIterationRounded	NumStability.Algorithms.StationaryIterationRounded	classify_document_only_owner	no					NumStability.sourceComputedIteration_actual_forward_bound	296
NumStability.sourceComputedIteration_actual_norm_forward_bound	theorem	public	NumStability.Algorithms.StationaryIterationRounded	NumStability.Algorithms.StationaryIterationRounded	classify_document_only_owner	no					NumStability.sourceComputedIteration_actual_norm_forward_bound	435
NumStability.stationaryDrazinFixedProjector_fixed_by_G	theorem	public	NumStability.Algorithms.StationaryIteration	NumStability.Algorithms.StationaryIteration	depends_on_private_closure	yes	1	NumStability.stationaryDrazinFixedProjector_fixed_by_G	_private.NumStability.Algorithms.StationaryIteration.0.NumStability.matMul_matSub_id_matSub_id	body	NumStability.stationaryDrazinFixedProjector_fixed_by_G	1302
NumStability.stationaryDrazinFixedProjector_idempotent	theorem	public	NumStability.Algorithms.StationaryIteration	NumStability.Algorithms.StationaryIteration	depends_on_private_closure	yes	1	NumStability.stationaryDrazinFixedProjector_idempotent	_private.NumStability.Algorithms.StationaryIteration.0.NumStability.matMul_matSub_id_matSub_id	body	NumStability.stationaryDrazinFixedProjector_idempotent	1280
NumStability.stationaryDrazinFixedProjector_matMulVec_fixed	theorem	public	NumStability.Algorithms.StationaryIteration	NumStability.Algorithms.StationaryIteration	depends_on_private_closure	yes	2	NumStability.stationaryDrazinFixedProjector_matMulVec_fixed	NumStability.stationaryDrazinFixedProjector_fixed_by_G	body	NumStability.stationaryDrazinFixedProjector_matMulVec_fixed	1437
NumStability.stationaryDrazinFixedProjector_matPow_fixed	theorem	public	NumStability.Algorithms.StationaryIteration	NumStability.Algorithms.StationaryIteration	depends_on_private_closure	yes	2	NumStability.stationaryDrazinFixedProjector_matPow_fixed	NumStability.stationaryDrazinFixedProjector_fixed_by_G	body	NumStability.stationaryDrazinFixedProjector_matPow_fixed	1337
NumStability.stationaryDrazinRangeProjector_commutes_with_G	theorem	public	NumStability.Algorithms.StationaryIteration	NumStability.Algorithms.StationaryIteration	depends_on_private_closure	yes	1	NumStability.stationaryDrazinRangeProjector_commutes_with_G	_private.NumStability.Algorithms.StationaryIteration.0.NumStability.matMul_matSub_id_left	body	NumStability.stationaryDrazinRangeProjector_commutes_with_G	1135
NumStability.stationaryDrazinRangeProjector_commutes_with_matPow	theorem	public	NumStability.Algorithms.StationaryIteration	NumStability.Algorithms.StationaryIteration	depends_on_private_closure	yes	2	NumStability.stationaryDrazinRangeProjector_commutes_with_matPow	NumStability.stationaryDrazinRangeProjector_commutes_with_G	body	NumStability.stationaryDrazinRangeProjector_commutes_with_matPow	1171
