declaration	kind	visibility	owner_module	destination_module	route_class	normalization_decision	in_private_closure	new_private_name
NumStability.RectPNormPair.infinity	definition	public	NumStability.Algorithms.NormEstimation.PNorm.Endpoints.PNormRectangular	NumStability.Algorithms.NormEstimation.PNorm.OneAndInfinityNorms.Rectangular	reusable	approved_owner_block_route	no	-
NumStability.RectPNormPair.one	definition	public	NumStability.Algorithms.NormEstimation.PNorm.Endpoints.PNormRectangular	NumStability.Algorithms.NormEstimation.PNorm.OneAndInfinityNorms.Rectangular	reusable	approved_owner_block_route	no	-
NumStability.RectPNormPair.oneNormVec_rectMatVec_le	theorem	public	NumStability.Algorithms.NormEstimation.PNorm.Endpoints.PNormRectangular	NumStability.Algorithms.NormEstimation.PNorm.OneAndInfinityNorms.Rectangular	reusable	approved_owner_block_route	no	-
NumStability.RectPNormPair.signVec_infNorm_eq_one	theorem	public	NumStability.Algorithms.NormEstimation.PNorm.Endpoints.PNormRectangular	NumStability.Algorithms.NormEstimation.PNorm.OneAndInfinityNorms.Rectangular	reusable	approved_owner_block_route	no	-
_private.NumStability.Algorithms.Ch15CondEstimators.0.NumStability.Ch15.linpackYSteps_solves	theorem	private	NumStability.Algorithms.Ch15CondEstimators	NumStability.Source.Higham.Chapter15.Algorithm05.LINPACKConditionEstimator.InverseNormBound.TriangularSolve	source	approved_owner_block_route	yes	_private.NumStability.Source.Higham.Chapter15.Algorithm05.LINPACKConditionEstimator.InverseNormBound.TriangularSolve.0.NumStability.Ch15.linpackYSteps_solves
_private.NumStability.Algorithms.Ch15CondEstimators.0.NumStability.Ch15.linpackYSteps_stable	theorem	private	NumStability.Algorithms.Ch15CondEstimators	NumStability.Source.Higham.Chapter15.Algorithm05.LINPACKConditionEstimator.InverseNormBound.TriangularSolve	source	approved_owner_block_route	yes	_private.NumStability.Source.Higham.Chapter15.Algorithm05.LINPACKConditionEstimator.InverseNormBound.TriangularSolve.0.NumStability.Ch15.linpackYSteps_stable
_private.NumStability.Algorithms.Ch15CondEstimators.0.NumStability.Ch15.linpackYSteps_value_at	theorem	private	NumStability.Algorithms.Ch15CondEstimators	NumStability.Source.Higham.Chapter15.Algorithm05.LINPACKConditionEstimator.InverseNormBound.TriangularSolve	source	approved_owner_block_route	yes	_private.NumStability.Source.Higham.Chapter15.Algorithm05.LINPACKConditionEstimator.InverseNormBound.TriangularSolve.0.NumStability.Ch15.linpackYSteps_value_at
_private.NumStability.Algorithms.Ch15CondEstimators.0.NumStability.Ch15.matMulVec_upperTri_split	theorem	private	NumStability.Algorithms.Ch15CondEstimators	NumStability.Source.Higham.Chapter15.Algorithm05.LINPACKConditionEstimator.InverseNormBound.TriangularSolve	source	approved_owner_block_route	yes	_private.NumStability.Source.Higham.Chapter15.Algorithm05.LINPACKConditionEstimator.InverseNormBound.TriangularSolve.0.NumStability.Ch15.matMulVec_upperTri_split
_private.NumStability.Algorithms.HighamChapter15BoydConcreteLemma3.0.NumStability.Ch15.boyd_weight_exponents_cancel	theorem	private	NumStability.Algorithms.HighamChapter15BoydConcreteLemma3	NumStability.Source.Higham.Chapter15.Section02.Boyd.LocalConvergence.ConstrainedLagrangian.Differentiation	source	approved_owner_block_route	yes	_private.NumStability.Source.Higham.Chapter15.Section02.Boyd.LocalConvergence.ConstrainedLagrangian.Differentiation.0.NumStability.Ch15.boyd_weight_exponents_cancel
_private.NumStability.Algorithms.HighamChapter15BoydConcreteLemma3.0.NumStability.Ch15.hasDerivAt_abs_rpow_affine	theorem	private	NumStability.Algorithms.HighamChapter15BoydConcreteLemma3	NumStability.Source.Higham.Chapter15.Section02.Boyd.LocalConvergence.ConstrainedLagrangian.Differentiation	source	approved_owner_block_route	yes	_private.NumStability.Source.Higham.Chapter15.Section02.Boyd.LocalConvergence.ConstrainedLagrangian.Differentiation.0.NumStability.Ch15.hasDerivAt_abs_rpow_affine
