declaration	kind	visibility	owner_module	destination_code	destination_module	tier	pinned_by_private_closure	demoted	review_batch
_private.NumStability.Algorithms.HighamChapter15RectTermination.0.NumStability.RectPNormPair.infinityNPlusOneCounterexampleY1	definition	private	NumStability.Algorithms.HighamChapter15RectTermination	RETAIN	NumStability.Algorithms.HighamChapter15RectTermination	historical	yes	no	rect-term
_private.NumStability.Algorithms.HighamChapter15RectTermination.0.NumStability.RectPNormPair.infinityNPlusOneCounterexampleY2	definition	private	NumStability.Algorithms.HighamChapter15RectTermination	RETAIN	NumStability.Algorithms.HighamChapter15RectTermination	historical	yes	no	rect-term
_private.NumStability.Algorithms.HighamChapter15RectTermination.0.NumStability.RectPNormPair.infinityNPlusOneCounterexampleY3	definition	private	NumStability.Algorithms.HighamChapter15RectTermination	RETAIN	NumStability.Algorithms.HighamChapter15RectTermination	historical	yes	no	rect-term
_private.NumStability.Algorithms.HighamChapter15RectTermination.0.NumStability.RectPNormPair.infinityNPlusOneCounterexampleY4	definition	private	NumStability.Algorithms.HighamChapter15RectTermination	RETAIN	NumStability.Algorithms.HighamChapter15RectTermination	historical	yes	no	rect-term
_private.NumStability.Algorithms.HighamChapter15RectTermination.0.NumStability.RectPNormPair.infinityNPlusOneCounterexampleZ0	definition	private	NumStability.Algorithms.HighamChapter15RectTermination	RETAIN	NumStability.Algorithms.HighamChapter15RectTermination	historical	yes	no	rect-term
_private.NumStability.Algorithms.HighamChapter15RectTermination.0.NumStability.RectPNormPair.infinityNPlusOneCounterexampleZ1	definition	private	NumStability.Algorithms.HighamChapter15RectTermination	RETAIN	NumStability.Algorithms.HighamChapter15RectTermination	historical	yes	no	rect-term
_private.NumStability.Algorithms.HighamChapter15RectTermination.0.NumStability.RectPNormPair.infinityNPlusOneCounterexampleZ2	definition	private	NumStability.Algorithms.HighamChapter15RectTermination	RETAIN	NumStability.Algorithms.HighamChapter15RectTermination	historical	yes	no	rect-term
_private.NumStability.Algorithms.HighamChapter15RectTermination.0.NumStability.RectPNormPair.infinityNPlusOneCounterexampleZ3	definition	private	NumStability.Algorithms.HighamChapter15RectTermination	RETAIN	NumStability.Algorithms.HighamChapter15RectTermination	historical	yes	no	rect-term
_private.NumStability.Algorithms.HighamChapter15RectTermination.0.NumStability.RectPNormPair.infinityNPlusOneCounterexampleZ4	definition	private	NumStability.Algorithms.HighamChapter15RectTermination	RETAIN	NumStability.Algorithms.HighamChapter15RectTermination	historical	yes	no	rect-term
_private.NumStability.Algorithms.HighamChapter15RectTermination.0.NumStability.RectPNormPair.infinityNPlusOneCounterexample_argmax_x0	theorem	private	NumStability.Algorithms.HighamChapter15RectTermination	RETAIN	NumStability.Algorithms.HighamChapter15RectTermination	historical	yes	no	rect-term
_private.NumStability.Algorithms.HighamChapter15RectTermination.0.NumStability.RectPNormPair.infinityNPlusOneCounterexample_argmax_x1	theorem	private	NumStability.Algorithms.HighamChapter15RectTermination	RETAIN	NumStability.Algorithms.HighamChapter15RectTermination	historical	yes	no	rect-term
_private.NumStability.Algorithms.HighamChapter15RectTermination.0.NumStability.RectPNormPair.infinityNPlusOneCounterexample_argmax_x2	theorem	private	NumStability.Algorithms.HighamChapter15RectTermination	RETAIN	NumStability.Algorithms.HighamChapter15RectTermination	historical	yes	no	rect-term
_private.NumStability.Algorithms.HighamChapter15RectTermination.0.NumStability.RectPNormPair.infinityNPlusOneCounterexample_argmax_x3	theorem	private	NumStability.Algorithms.HighamChapter15RectTermination	RETAIN	NumStability.Algorithms.HighamChapter15RectTermination	historical	yes	no	rect-term
_private.NumStability.Algorithms.HighamChapter15RectTermination.0.NumStability.RectPNormPair.infinityNPlusOneCounterexample_argmax_x4	theorem	private	NumStability.Algorithms.HighamChapter15RectTermination	RETAIN	NumStability.Algorithms.HighamChapter15RectTermination	historical	yes	no	rect-term
_private.NumStability.Algorithms.HighamChapter15RectTermination.0.NumStability.RectPNormPair.infinityNPlusOneCounterexample_not_stops_x0	theorem	private	NumStability.Algorithms.HighamChapter15RectTermination	RETAIN	NumStability.Algorithms.HighamChapter15RectTermination	historical	yes	no	rect-term
_private.NumStability.Algorithms.HighamChapter15RectTermination.0.NumStability.RectPNormPair.infinityNPlusOneCounterexample_not_stops_x1	theorem	private	NumStability.Algorithms.HighamChapter15RectTermination	RETAIN	NumStability.Algorithms.HighamChapter15RectTermination	historical	yes	no	rect-term
_private.NumStability.Algorithms.HighamChapter15RectTermination.0.NumStability.RectPNormPair.infinityNPlusOneCounterexample_not_stops_x2	theorem	private	NumStability.Algorithms.HighamChapter15RectTermination	RETAIN	NumStability.Algorithms.HighamChapter15RectTermination	historical	yes	no	rect-term
_private.NumStability.Algorithms.HighamChapter15RectTermination.0.NumStability.RectPNormPair.infinityNPlusOneCounterexample_not_stops_x3	theorem	private	NumStability.Algorithms.HighamChapter15RectTermination	RETAIN	NumStability.Algorithms.HighamChapter15RectTermination	historical	yes	no	rect-term
_private.NumStability.Algorithms.HighamChapter15RectTermination.0.NumStability.RectPNormPair.infinityNPlusOneCounterexample_stops_x4	theorem	private	NumStability.Algorithms.HighamChapter15RectTermination	RETAIN	NumStability.Algorithms.HighamChapter15RectTermination	historical	yes	no	rect-term
_private.NumStability.Algorithms.HighamChapter15RectTermination.0.NumStability.RectPNormPair.infinityNPlusOneCounterexample_xnext_x0	theorem	private	NumStability.Algorithms.HighamChapter15RectTermination	RETAIN	NumStability.Algorithms.HighamChapter15RectTermination	historical	yes	no	rect-term
_private.NumStability.Algorithms.HighamChapter15RectTermination.0.NumStability.RectPNormPair.infinityNPlusOneCounterexample_xnext_x1	theorem	private	NumStability.Algorithms.HighamChapter15RectTermination	RETAIN	NumStability.Algorithms.HighamChapter15RectTermination	historical	yes	no	rect-term
_private.NumStability.Algorithms.HighamChapter15RectTermination.0.NumStability.RectPNormPair.infinityNPlusOneCounterexample_xnext_x2	theorem	private	NumStability.Algorithms.HighamChapter15RectTermination	RETAIN	NumStability.Algorithms.HighamChapter15RectTermination	historical	yes	no	rect-term
_private.NumStability.Algorithms.HighamChapter15RectTermination.0.NumStability.RectPNormPair.infinityNPlusOneCounterexample_xnext_x3	theorem	private	NumStability.Algorithms.HighamChapter15RectTermination	RETAIN	NumStability.Algorithms.HighamChapter15RectTermination	historical	yes	no	rect-term
