declaration	owner_module	visibility	selected_owner	closure_role	seed_memberships	membership_witnesses	co_route_component	minimum_depth	signature_edge_span	body_edge_span
_private.NumStability.Analysis.MatrixPowersBinomialBound.0.NumStability.opNorm_unitary_conj	NumStability.Analysis.MatrixPowersBinomialBound	private	yes	private_seed	_private.NumStability.Analysis.MatrixPowersBinomialBound.0.NumStability.opNorm_one;_private.NumStability.Analysis.MatrixPowersBinomialBound.0.NumStability.opNorm_unitary;_private.NumStability.Analysis.MatrixPowersBinomialBound.0.NumStability.opNorm_unitary_conj	"[{""depth"":2,""edge_kind"":""body"",""predecessor"":""_private.NumStability.Analysis.MatrixPowersBinomialBound.0.NumStability.opNorm_unitary"",""seed"":""_private.NumStability.Analysis.MatrixPowersBinomialBound.0.NumStability.opNorm_one""},{""depth"":1,""edge_kind"":""body"",""predecessor"":""_private.NumStability.Analysis.MatrixPowersBinomialBound.0.NumStability.opNorm_unitary"",""seed"":""_private.NumStability.Analysis.MatrixPowersBinomialBound.0.NumStability.opNorm_unitary""},{""depth"":0,""edge_kind"":""seed"",""predecessor"":""-"",""seed"":""_private.NumStability.Analysis.MatrixPowersBinomialBound.0.NumStability.opNorm_unitary_conj""}]"	NumStability.norm_pow_eq_norm_schur_pow	0	0	2
_private.NumStability.Analysis.MatrixPowersBinomialBound.0.NumStability.sum_Ppiece	NumStability.Analysis.MatrixPowersBinomialBound	private	yes	private_seed	_private.NumStability.Analysis.MatrixPowersBinomialBound.0.NumStability.Ppiece;_private.NumStability.Analysis.MatrixPowersBinomialBound.0.NumStability.Ppiece_eq_zero_of_lt;_private.NumStability.Analysis.MatrixPowersBinomialBound.0.NumStability.Ppiece_succ_succ;_private.NumStability.Analysis.MatrixPowersBinomialBound.0.NumStability.sum_Ppiece	"[{""depth"":1,""edge_kind"":""body"",""predecessor"":""_private.NumStability.Analysis.MatrixPowersBinomialBound.0.NumStability.Ppiece"",""seed"":""_private.NumStability.Analysis.MatrixPowersBinomialBound.0.NumStability.Ppiece""},{""depth"":1,""edge_kind"":""body"",""predecessor"":""_private.NumStability.Analysis.MatrixPowersBinomialBound.0.NumStability.Ppiece_eq_zero_of_lt"",""seed"":""_private.NumStability.Analysis.MatrixPowersBinomialBound.0.NumStability.Ppiece_eq_zero_of_lt""},{""depth"":2,""edge_kind"":""body"",""predecessor"":""_private.NumStability.Analysis.MatrixPowersBinomialBound.0.NumStability.Ppiece_eq_zero_of_lt"",""seed"":""_private.NumStability.Analysis.MatrixPowersBinomialBound.0.NumStability.Ppiece_succ_succ""},{""depth"":0,""edge_kind"":""seed"",""predecessor"":""-"",""seed"":""_private.NumStability.Analysis.MatrixPowersBinomialBound.0.NumStability.sum_Ppiece""}]"	NumStability.opNorm_schurpow_le_binomial	0	1	3
_private.NumStability.Analysis.MatrixPowersSchur.0.NumStability.conjTranspose_mul_diag	NumStability.Analysis.MatrixPowersSchur	private	yes	private_seed	_private.NumStability.Analysis.MatrixPowersSchur.0.NumStability.conjTranspose_mul_diag	"[{""depth"":0,""edge_kind"":""seed"",""predecessor"":""-"",""seed"":""_private.NumStability.Analysis.MatrixPowersSchur.0.NumStability.conjTranspose_mul_diag""}]"	NumStability.normal_upperTriangular_isDiag	0	0	1
_private.NumStability.Analysis.MatrixPowersSchur.0.NumStability.l2_opNorm_of_mem_unitaryGroup	NumStability.Analysis.MatrixPowersSchur	private	yes	private_seed	_private.NumStability.Analysis.MatrixPowersSchur.0.NumStability.l2_opNorm_of_mem_unitaryGroup;_private.NumStability.Analysis.MatrixPowersSchur.0.NumStability.l2_opNorm_one	"[{""depth"":0,""edge_kind"":""seed"",""predecessor"":""-"",""seed"":""_private.NumStability.Analysis.MatrixPowersSchur.0.NumStability.l2_opNorm_of_mem_unitaryGroup""},{""depth"":1,""edge_kind"":""body"",""predecessor"":""_private.NumStability.Analysis.MatrixPowersSchur.0.NumStability.l2_opNorm_one"",""seed"":""_private.NumStability.Analysis.MatrixPowersSchur.0.NumStability.l2_opNorm_one""}]"	NumStability.norm_pow_normal_eq	0	0	2
_private.NumStability.Analysis.MatrixPowersSchur.0.NumStability.l2_opNorm_one	NumStability.Analysis.MatrixPowersSchur	private	yes	private_seed	_private.NumStability.Analysis.MatrixPowersSchur.0.NumStability.l2_opNorm_one	"[{""depth"":0,""edge_kind"":""seed"",""predecessor"":""-"",""seed"":""_private.NumStability.Analysis.MatrixPowersSchur.0.NumStability.l2_opNorm_one""}]"	NumStability.norm_pow_normal_eq	0	0	1
_private.NumStability.Analysis.MatrixPowersSchur.0.NumStability.l2_opNorm_unitary_conj	NumStability.Analysis.MatrixPowersSchur	private	yes	private_seed	_private.NumStability.Analysis.MatrixPowersSchur.0.NumStability.l2_opNorm_of_mem_unitaryGroup;_private.NumStability.Analysis.MatrixPowersSchur.0.NumStability.l2_opNorm_one;_private.NumStability.Analysis.MatrixPowersSchur.0.NumStability.l2_opNorm_unitary_conj	"[{""depth"":1,""edge_kind"":""body"",""predecessor"":""_private.NumStability.Analysis.MatrixPowersSchur.0.NumStability.l2_opNorm_of_mem_unitaryGroup"",""seed"":""_private.NumStability.Analysis.MatrixPowersSchur.0.NumStability.l2_opNorm_of_mem_unitaryGroup""},{""depth"":2,""edge_kind"":""body"",""predecessor"":""_private.NumStability.Analysis.MatrixPowersSchur.0.NumStability.l2_opNorm_of_mem_unitaryGroup"",""seed"":""_private.NumStability.Analysis.MatrixPowersSchur.0.NumStability.l2_opNorm_one""},{""depth"":0,""edge_kind"":""seed"",""predecessor"":""-"",""seed"":""_private.NumStability.Analysis.MatrixPowersSchur.0.NumStability.l2_opNorm_unitary_conj""}]"	NumStability.norm_pow_normal_eq	0	0	2
_private.NumStability.Analysis.MatrixPowersSchur.0.NumStability.mul_conjTranspose_diag	NumStability.Analysis.MatrixPowersSchur	private	yes	private_seed	_private.NumStability.Analysis.MatrixPowersSchur.0.NumStability.mul_conjTranspose_diag	"[{""depth"":0,""edge_kind"":""seed"",""predecessor"":""-"",""seed"":""_private.NumStability.Analysis.MatrixPowersSchur.0.NumStability.mul_conjTranspose_diag""}]"	NumStability.normal_upperTriangular_isDiag	0	0	1
_private.NumStability.Analysis.MatrixPowersSchur.0.NumStability.pi_norm_pow	NumStability.Analysis.MatrixPowersSchur	private	yes	private_seed	_private.NumStability.Analysis.MatrixPowersSchur.0.NumStability.pi_norm_pow	"[{""depth"":0,""edge_kind"":""seed"",""predecessor"":""-"",""seed"":""_private.NumStability.Analysis.MatrixPowersSchur.0.NumStability.pi_norm_pow""}]"	NumStability.norm_pow_normal_eq	0	0	1
_private.NumStability.Analysis.MatrixPowersSpijkerPlanar.0.NumStability.natDegree_C_mul_mul_le_two_mul	NumStability.Analysis.MatrixPowersSpijkerPlanar	private	yes	private_seed	_private.NumStability.Analysis.MatrixPowersSpijkerPlanar.0.NumStability.natDegree_C_mul_mul_le_two_mul	"[{""depth"":0,""edge_kind"":""seed"",""predecessor"":""-"",""seed"":""_private.NumStability.Analysis.MatrixPowersSpijkerPlanar.0.NumStability.natDegree_C_mul_mul_le_two_mul""}]"	NumStability.spijkerProjectionCrossingPolynomial_natDegree_le	0	0	1
_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.exists_spijkerPartitionCrossing	NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis	private	yes	private_seed	_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.exists_spijkerPartitionCrossing;_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerLevelInterval	"[{""depth"":0,""edge_kind"":""seed"",""predecessor"":""-"",""seed"":""_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.exists_spijkerPartitionCrossing""},{""depth"":1,""edge_kind"":""body"",""predecessor"":""_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerLevelInterval"",""seed"":""_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerLevelInterval""}]"	NumStability.spijker_crossing_variation	0	1	2
