path	old_import	old_occurrences	new_imports
NumStability/Analysis.lean	NumStability.Analysis.SampleVariance	1	NumStability.Analysis.Statistics.SampleVariance.RoundingErrorBounds.Theorems;NumStability.Source.Higham.Chapter01.Problem10.TwoPassSampleVariance.RemainderBound.Theorem;NumStability.Source.Higham.Chapter01.Section09.SampleVariance.IeeeSingleOnePassCounterexample.Results
NumStability/Analysis/Counting.lean	NumStability.Analysis.FloatingPointArithmetic	1	NumStability.Analysis.FloatingPointArithmetic.IeeeSpecialValueOperations.Results
NumStability/Analysis/HighamChapter2GradualUnderflowExact.lean	NumStability.Analysis.FloatingPointArithmetic	1	NumStability.Analysis.FloatingPointArithmetic.IeeeSpecialValueOperations.Results
NumStability/Analysis/HighamChapter2Tablemaker.lean	NumStability.Analysis.FloatingPointArithmetic	1	NumStability.Analysis.FloatingPointArithmetic.IeeeSpecialValueOperations.Results
NumStability/Analysis/Problem2_15_16.lean	NumStability.Analysis.FloatingPointArithmetic	1	NumStability.Analysis.FloatingPointArithmetic.IeeeSpecialValueOperations.Results
NumStability/Analysis/Problem2_23.lean	NumStability.Analysis.FloatingPointArithmetic	1	NumStability.Analysis.FloatingPointArithmetic.IeeeSpecialValueOperations.Results
NumStability/Analysis/Problem2_26.lean	NumStability.Analysis.Problem2_14	1	NumStability.Source.Higham.Chapter02.Problem14.UnitRoundoffProbe.IeeeExamples.Results
NumStability/Analysis/Problem2_5.lean	NumStability.Analysis.FloatingPointArithmetic	1	NumStability.Analysis.FloatingPointArithmetic.IeeeSpecialValueOperations.Results
NumStability/Analysis/Problem2_6.lean	NumStability.Analysis.FloatingPointArithmetic	1	NumStability.Analysis.FloatingPointArithmetic.IeeeSpecialValueOperations.Results
NumStability/Source/DrineasMahoney/RandNLA2016/Equation09/LowRankApproximation/Endpoints.lean	NumStability.Algorithms.LU.Doolittle	1	NumStability.Algorithms.LinearSystems.LU.Doolittle.Assembly.Core
NumStability/Source/Higham/Chapter01/Problem03/CancellationRewrites/Algebra.lean	NumStability.Analysis.FloatingPointArithmetic	1	NumStability.Analysis.FloatingPointArithmetic.IeeeSpecialValueOperations.Results
NumStability/Source/Higham/Chapter01/Problem07/SampleVarianceConditioning/ConditionNumbers.lean	NumStability.Analysis.FloatingPointArithmetic	1	NumStability.Analysis.FloatingPointArithmetic.IeeeSpecialValueOperations.Results
NumStability/Source/Higham/Chapter01/Problem10/TwoPassSampleVariance/Bounds.lean	NumStability.Analysis.FloatingPointArithmetic	1	NumStability.Analysis.FloatingPointArithmetic.IeeeSpecialValueOperations.Results
NumStability/Source/Higham/Chapter01/Section07/TrigonometricCancellation/Example.lean	NumStability.Analysis.FloatingPointArithmetic	1	NumStability.Analysis.FloatingPointArithmetic.IeeeSpecialValueOperations.Results
NumStability/Source/Higham/Chapter01/Section09/SampleVariance/Examples.lean	NumStability.Analysis.FloatingPointArithmetic	1	NumStability.Analysis.FloatingPointArithmetic.IeeeSpecialValueOperations.Results
NumStability/Source/Higham/Chapter01/Section16/ProblemDependentStability/ExactExample.lean	NumStability.Analysis.FloatingPointArithmetic	1	NumStability.Analysis.FloatingPointArithmetic.IeeeSpecialValueOperations.Results
NumStability/Source/Higham/Chapter01/Section16/ProblemDependentStability/Table13IeeeSingle.lean	NumStability.Analysis.FloatingPointArithmetic	1	NumStability.Analysis.FloatingPointArithmetic.IeeeSpecialValueOperations.Results
NumStability/Source/Higham/Chapter01/Section17/HornerEvaluation.lean	NumStability.Analysis.FloatingPointArithmetic	1	NumStability.Analysis.FloatingPointArithmetic.IeeeSpecialValueOperations.Results
NumStability/Source/Higham/Chapter02/Problem01/FloatingPointCounts/Basic.lean	NumStability.Analysis.FloatingPointArithmetic	1	NumStability.Analysis.FloatingPointArithmetic.IeeeSpecialValueOperations.Results
NumStability/Source/Higham/Chapter02/Problem02.lean	NumStability.Analysis.FloatingPointArithmetic	1	NumStability.Analysis.FloatingPointArithmetic.IeeeSpecialValueOperations.Results
NumStability/Source/Higham/Chapter02/Problem03/AdjacentPrecisionValues/Basic.lean	NumStability.Analysis.FloatingPointArithmetic	1	NumStability.Analysis.FloatingPointArithmetic.IeeeSpecialValueOperations.Results
NumStability/Source/Higham/Chapter02/Problem04.lean	NumStability.Analysis.FloatingPointArithmetic	1	NumStability.Analysis.FloatingPointArithmetic.IeeeSpecialValueOperations.Results
NumStability/Source/Higham/Chapter02/Problem05/BinaryOneTenth/Basic.lean	NumStability.Analysis.FloatingPointArithmetic	1	NumStability.Analysis.FloatingPointArithmetic.IeeeSpecialValueOperations.Results
NumStability/Source/Higham/Chapter02/Problem06/IntegerRepresentability/Basic.lean	NumStability.Analysis.FloatingPointArithmetic	1	NumStability.Analysis.FloatingPointArithmetic.IeeeSpecialValueOperations.Results
NumStability/Source/Higham/Chapter02/Problem09/DoubleRounding/Counterexample.lean	NumStability.Analysis.FloatingPointArithmetic	1	NumStability.Analysis.FloatingPointArithmetic.IeeeSpecialValueOperations.Results
NumStability/Source/Higham/Chapter02/Problem10/DivisionRoundTrip/Basic.lean	NumStability.Analysis.DoubleRounding	1	NumStability.Source.Higham.Chapter02.Problem09.DoubleRounding.Counterexample.Results
NumStability/Source/Higham/Chapter02/Problem12/ReciprocalProduct/Basic.lean	NumStability.Analysis.DoubleRounding	1	NumStability.Source.Higham.Chapter02.Problem09.DoubleRounding.Counterexample.Results
NumStability/Source/Higham/Chapter02/Problem19/GradualUnderflowExactness/Basic.lean	NumStability.Analysis.FloatingPointArithmetic	1	NumStability.Analysis.FloatingPointArithmetic.IeeeSpecialValueOperations.Results
NumStability/Source/Higham/Chapter02/Problem24/GuardDigitCancellation/Basic.lean	NumStability.Analysis.FloatingPointArithmetic	1	NumStability.Analysis.FloatingPointArithmetic.IeeeSpecialValueOperations.Results
NumStability/Source/Higham/Chapter02/Problem26/ExactProduct/Discrepancy.lean	NumStability.Analysis.FloatingPointArithmetic	1	NumStability.Analysis.FloatingPointArithmetic.IeeeSpecialValueOperations.Results
NumStability/Source/Higham/Chapter02/Problems15And16/SpecialValueProbes/Basic.lean	NumStability.Analysis.FloatingPointArithmetic	1	NumStability.Analysis.FloatingPointArithmetic.IeeeSpecialValueOperations.Results
NumStability/Source/Higham/Chapter02/Section03/DoubleRounding/Counterexample.lean	NumStability.Analysis.FloatingPointArithmetic	1	NumStability.Analysis.FloatingPointArithmetic.IeeeSpecialValueOperations.Results
NumStability/Source/Higham/Chapter02/Section06/FusedMultiplyAdd/DotProductCount.lean	NumStability.Analysis.FloatingPointArithmetic	1	NumStability.Analysis.FloatingPointArithmetic.IeeeSpecialValueOperations.Results
NumStability/Source/Higham/Chapter02/Section10/ArctangentRange/Basic.lean	NumStability.Analysis.FloatingPointArithmetic	1	NumStability.Analysis.FloatingPointArithmetic.IeeeSpecialValueOperations.Results
NumStability/Source/Higham/Chapter02/Section10/Tablemaker/FiniteSeparation/Basic.lean	NumStability.Analysis.FloatingPointArithmetic	1	NumStability.Analysis.FloatingPointArithmetic.IeeeSpecialValueOperations.Results
NumStability/Source/Higham/Chapter02/Section10/Tablemaker/HermiteLindemann/Basic.lean	NumStability.Analysis.FloatingPointArithmetic	1	NumStability.Analysis.FloatingPointArithmetic.IeeeSpecialValueOperations.Results
NumStability/Source/Higham/Chapter03/Problem11/KahanAbsoluteValue/Basic.lean	NumStability.Analysis.DoubleRounding	1	NumStability.Source.Higham.Chapter02.Problem09.DoubleRounding.Counterexample.Results
NumStability/Source/Higham/Chapter03/Problem11/KahanAbsoluteValue/Basic.lean	NumStability.Analysis.InstabilityWithoutCancellation	1	NumStability.Source.Higham.Chapter01.Section12.InstabilityWithoutCancellation.PivotingExample
NumStability/Source/Higham/Chapter04/Equation07/SterbenzCounterexamples.lean	NumStability.Analysis.FloatingPointArithmetic	1	NumStability.Analysis.FloatingPointArithmetic.IeeeSpecialValueOperations.Results
NumStability/Source/Higham/Chapter04/Equation08/FiniteFamily.lean	NumStability.Analysis.FloatingPointArithmetic	1	NumStability.Analysis.FloatingPointArithmetic.IeeeSpecialValueOperations.Results
NumStability/Source/Higham/Chapter04/Equation08/FiniteRouteLimitations.lean	NumStability.Analysis.FloatingPointArithmetic	1	NumStability.Analysis.FloatingPointArithmetic.IeeeSpecialValueOperations.Results
NumStability/Source/Higham/Chapter04/Equation08/ReturnedSum.lean	NumStability.Analysis.FloatingPointArithmetic	1	NumStability.Analysis.FloatingPointArithmetic.IeeeSpecialValueOperations.Results
NumStability/Source/Higham/Chapter04/Problem10.lean	NumStability.Analysis.FloatingPointArithmetic	1	NumStability.Analysis.FloatingPointArithmetic.IeeeSpecialValueOperations.Results
NumStability/Source/Higham/Chapter05/Equation14/MatrixPolynomialForms/Basic.lean	NumStability.Analysis.FloatingPointArithmetic	1	NumStability.Analysis.FloatingPointArithmetic.IeeeSpecialValueOperations.Results
NumStability/Source/Higham/Chapter05/Problem01/DifferentiatedHorner/Basic.lean	NumStability.Analysis.FloatingPointArithmetic	1	NumStability.Analysis.FloatingPointArithmetic.IeeeSpecialValueOperations.Results
NumStability/Source/Higham/Chapter05/Problem02/PowerBuilding/Basic.lean	NumStability.Analysis.FloatingPointArithmetic	1	NumStability.Analysis.FloatingPointArithmetic.IeeeSpecialValueOperations.Results
NumStability/Source/Higham/Chapter05/Problem03/EvenOddSplitting/Basic.lean	NumStability.Analysis.FloatingPointArithmetic	1	NumStability.Analysis.FloatingPointArithmetic.IeeeSpecialValueOperations.Results
NumStability/Source/Higham/Chapter05/Problem04/LejaOrdering/Basic.lean	NumStability.Analysis.FloatingPointArithmetic	1	NumStability.Analysis.FloatingPointArithmetic.IeeeSpecialValueOperations.Results
NumStability/Source/Higham/Chapter05/Problem06/MatrixPolynomialHorner/Basic.lean	NumStability.Analysis.FloatingPointArithmetic	1	NumStability.Analysis.FloatingPointArithmetic.IeeeSpecialValueOperations.Results
NumStability/Source/Higham/Chapter05/Section01/Horner/Basic.lean	NumStability.Analysis.FloatingPointArithmetic	1	NumStability.Analysis.FloatingPointArithmetic.IeeeSpecialValueOperations.Results
NumStability/Source/Higham/Chapter05/Section01/RelativeError/Basic.lean	NumStability.Analysis.FloatingPointArithmetic	1	NumStability.Analysis.FloatingPointArithmetic.IeeeSpecialValueOperations.Results
NumStability/Source/Higham/Chapter05/Section02/BidiagonalDerivativeAnalysis/Basic.lean	NumStability.Analysis.FloatingPointArithmetic	1	NumStability.Analysis.FloatingPointArithmetic.IeeeSpecialValueOperations.Results
NumStability/Source/Higham/Chapter05/Section02/DerivativeError/Basic.lean	NumStability.Analysis.FloatingPointArithmetic	1	NumStability.Analysis.FloatingPointArithmetic.IeeeSpecialValueOperations.Results
NumStability/Source/Higham/Chapter05/Section02/DerivativeEvaluation/Bidiagonal.lean	NumStability.Analysis.FloatingPointArithmetic	1	NumStability.Analysis.FloatingPointArithmetic.IeeeSpecialValueOperations.Results
NumStability/Source/Higham/Chapter05/Section02/DerivativeEvaluation/SyntheticDivision.lean	NumStability.Analysis.FloatingPointArithmetic	1	NumStability.Analysis.FloatingPointArithmetic.IeeeSpecialValueOperations.Results
NumStability/Source/Higham/Chapter05/Section03/DividedDifferences/Basic.lean	NumStability.Analysis.FloatingPointArithmetic	1	NumStability.Analysis.FloatingPointArithmetic.IeeeSpecialValueOperations.Results
NumStability/Source/Higham/Chapter05/Section03/LejaOrdering/Basic.lean	NumStability.Analysis.FloatingPointArithmetic	1	NumStability.Analysis.FloatingPointArithmetic.IeeeSpecialValueOperations.Results
NumStability/Source/Higham/Chapter05/Section03/NewtonEvaluation/Basic.lean	NumStability.Analysis.FloatingPointArithmetic	1	NumStability.Analysis.FloatingPointArithmetic.IeeeSpecialValueOperations.Results
NumStability/Source/Higham/Chapter05/Section03/NewtonEvaluation/HornerBasis.lean	NumStability.Analysis.FloatingPointArithmetic	1	NumStability.Analysis.FloatingPointArithmetic.IeeeSpecialValueOperations.Results
NumStability/Source/Higham/Chapter05/Section03/ResidualUnwind/Basic.lean	NumStability.Analysis.FloatingPointArithmetic	1	NumStability.Analysis.FloatingPointArithmetic.IeeeSpecialValueOperations.Results
NumStability/Source/Higham/Chapter05/Section05/FastPolynomialEvaluation/Basic.lean	NumStability.Analysis.FloatingPointArithmetic	1	NumStability.Analysis.FloatingPointArithmetic.IeeeSpecialValueOperations.Results
NumStability/Source/Higham/Chapter06/Theorem05/DistanceToSingularity/All.lean	NumStability.Source.Higham.Chapter06.Theorem05.DistanceToSingularity.Chapter07Equation26	1	NumStability.Source.Higham.Chapter07.Equation26.DistanceToSingularity.Results
NumStability/Source/Higham/Chapter09/ComputedCorrection.lean	NumStability.Analysis.InstabilityWithoutCancellation	1	NumStability.Source.Higham.Chapter01.Section12.InstabilityWithoutCancellation.PivotingExample
NumStability/Source/Higham/Chapter09/Section02.lean	NumStability.Algorithms.LU.Doolittle	1	NumStability.Algorithms.LinearSystems.LU.Doolittle.Assembly.Core
NumStability/Source/Higham/Chapter09/Section03.lean	NumStability.Algorithms.LU.Doolittle	1	NumStability.Algorithms.LinearSystems.LU.Doolittle.Assembly.Core
NumStability/Source/Higham/Chapter09/Section06.lean	NumStability.Algorithms.LU.Doolittle	1	NumStability.Algorithms.LinearSystems.LU.Doolittle.Assembly.Core
NumStability/Source/Higham/Chapter10/Theorem07/FailureVacuity/Vacuity.lean	NumStability.Algorithms.HighamChapters1To9SourceClosure	1	NumStability.Source.Higham.Chapter08.Equation15.FanInExecutor.FirstOrderResidual;NumStability.Source.Higham.Chapter08.Equation18.FanInExecutor.FirstOrderForwardError
NumStability/Source/Higham/Chapter12.lean	NumStability.Source.Higham.Chapter12.IterativeRefinement	1	NumStability.Source.Higham.Chapter12.IterativeRefinement.Results.Theorems
NumStability/Source/Higham/Chapter12/IterativeRefinement/All.lean	NumStability.Source.Higham.Chapter12.IterativeRefinement.Chapter12Bounds	1	NumStability.Source.Higham.Chapter12.IterativeRefinement.ForwardErrorBounds.Results
