owner_module	path	base_blob_oid	baseline_declarations	public_declarations	private_declarations	relocated_declarations	retained_declarations	destination_modules	wrapper_action	worker_change	postimage_sha256
NumStability.Analysis.MatrixPowersSpijkerPlanar	NumStability/Analysis/MatrixPowersSpijkerPlanar.lean	8bd4f4db31165196dbc6839c0fe4046d0fe14d69	5	4	1	5	0	NumStability.Analysis.LinearOperators.MatrixPowers.Spijker.PlanarCrossingBounds.Polynomial	import_only_wrapper	modified	E9C406704A9503BFA825038BF0D6EB1EA0300D242B15C06B04BB602B81ABFFA3
NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis	NumStability/Analysis/MatrixPowersSpijkerPlanarAnalysis.lean	66e975322b75385adf7eb55429e6de3715b9f262	17	4	13	17	0	NumStability.Analysis.LinearOperators.MatrixPowers.Spijker.PlanarArcLength.Variation	import_only_wrapper	modified	15F1B76108BD60AA26FCB4201266E6AA487F22AB5C418F615EF4C05D877A191C
NumStability.Analysis.MatrixPowersSpijkerRational	NumStability/Analysis/MatrixPowersSpijkerRational.lean	5534c852b63517b2ad9bdcf581f68e25c4a7d376	0	0	0	0	0	-	import_only_wrapper	byte_identical	254B65B96374318A77DD5CE2DE54692C799401602501C2302879BF8BD665D028
NumStability.Analysis.NilpotentJordanChain	NumStability/Analysis/NilpotentJordanChain.lean	e79f05048ae4da669a1dddcb51f3b0716ba1773d	0	0	0	0	0	-	import_only_wrapper	byte_identical	47AB8371FC9A277B616ED4FF9BD32E68F64EEA593C5E4A0D8C6AF3B5B88414C4
NumStability.Analysis.NumericalRadius	NumStability/Analysis/NumericalRadius.lean	df20cb0021acdf3021f333d6a39a775d52322c85	1	0	1	1	0	NumStability.Analysis.LinearOperators.NumericalRadius.Core.Internal.EuclideanSpaceNotation	import_only_wrapper	modified	9014095515D91BA013866D1F5791853F13CE295C63BD03CDFDABB89064A5C5D6
NumStability.Analysis.OperatorLog	NumStability/Analysis/OperatorLog.lean	d10c70313d4f6254ffbab0163031b404a935fc3f	0	0	0	0	0	-	import_only_wrapper	byte_identical	5E1EA72E4F3EDF28EB58F540B09BC528E00A9C4B6A8DC6EF3ADBCA89EA7E1751
NumStability.Analysis.PseudospectralLowerBound	NumStability/Analysis/PseudospectralLowerBound.lean	bea6a28b2f392fe2dca970dc3ca30eea2c505914	0	0	0	0	0	-	import_only_wrapper	byte_identical	9FD34B3F1F0C14E497AE2A4C8D517EE31C9D731849E468E3594DEB6D6B8E2D29
NumStability.Analysis.PseudospectralPowerBound	NumStability/Analysis/PseudospectralPowerBound.lean	912e774f0d2fc129ae82378ce21d2105ab310c2e	0	0	0	0	0	-	import_only_wrapper	byte_identical	8C8D8C958D4DD784E726091521BD7A167E112785E424DA722AF2752206F2E17C
NumStability.Analysis.PseudospectralResolvent	NumStability/Analysis/PseudospectralResolvent.lean	7c305d48544c689d658f178edce6cd0808bd431d	1	0	1	1	0	NumStability.Analysis.LinearOperators.Pseudospectra.Resolvent.Internal.ScalarNotation	import_only_wrapper	modified	21A033F4000B906EEFCBC5A1E22F3775364F227709CB9D1507521EA98C6410C8
NumStability.Analysis.ResolventFunctionalCalculus	NumStability/Analysis/ResolventFunctionalCalculus.lean	978885bbe1e2d058efe03dfe9800e74e11e4559b	0	0	0	0	0	-	import_only_wrapper	byte_identical	21AB3C87F744DA3AACC7E71865533442EC21E7AB029798346214F93B1439B135
NumStability.Analysis.SpijkerProjectionIntegral	NumStability/Analysis/SpijkerProjectionIntegral.lean	6bb8216505338afe2463674d52e151f4e7567e85	0	0	0	0	0	-	import_only_wrapper	byte_identical	0E137F8DFE39E4D8F142B9863B84FF93D2C8EC46BE706432EFEFBA5378C51755
